DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,INDICATOR: Indicator,CURRENCY: Currency,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2065,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2033,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2128,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2308,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2481,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2524,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2367,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2411,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2560,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2600,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2617,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2629,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2808,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,3028,WST_POP: Tala per person,,,National authorities,
