,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
0,2019-01-01,Papua New Guinea,385,3
1,2019-01-02,Papua New Guinea,1285,7
2,2019-01-03,Papua New Guinea,1168,6
3,2019-01-04,Papua New Guinea,962,4
4,2019-01-05,Papua New Guinea,1445,9
5,2019-01-06,Papua New Guinea,751,3
6,2019-01-07,Papua New Guinea,1659,7
7,2019-01-08,Papua New Guinea,702,5
8,2019-01-09,Papua New Guinea,1536,7
9,2019-01-10,Papua New Guinea,1518,6
10,2019-01-11,Papua New Guinea,391,3
11,2019-01-12,Papua New Guinea,1591,9
12,2019-01-13,Papua New Guinea,708,3
13,2019-01-14,Papua New Guinea,1592,8
14,2019-01-15,Papua New Guinea,995,4
15,2019-01-16,Papua New Guinea,1213,7
16,2019-01-17,Papua New Guinea,1342,6
17,2019-01-18,Papua New Guinea,943,3
18,2019-01-19,Papua New Guinea,1416,9
19,2019-01-20,Papua New Guinea,897,4
20,2019-01-21,Papua New Guinea,1592,8
21,2019-01-22,Papua New Guinea,995,4
22,2019-01-23,Papua New Guinea,1213,7
23,2019-01-24,Papua New Guinea,1390,7
24,2019-01-25,Papua New Guinea,1047,4
25,2019-01-26,Papua New Guinea,1503,8
26,2019-01-27,Papua New Guinea,708,3
27,2019-01-28,Papua New Guinea,1635,8
28,2019-01-29,Papua New Guinea,1010,4
29,2019-01-30,Papua New Guinea,1228,7
30,2019-01-31,Papua New Guinea,1342,6
31,2019-02-01,Papua New Guinea,956,3
32,2019-02-02,Papua New Guinea,1504,9
33,2019-02-03,Papua New Guinea,725,4
34,2019-02-04,Papua New Guinea,1304,7
35,2019-02-05,Papua New Guinea,1155,4
36,2019-02-06,Papua New Guinea,1135,6
37,2019-02-07,Papua New Guinea,1227,6
38,2019-02-08,Papua New Guinea,900,3
39,2019-02-09,Papua New Guinea,1504,9
40,2019-02-10,Papua New Guinea,723,3
41,2019-02-11,Papua New Guinea,1572,9
42,2019-02-12,Papua New Guinea,1010,4
43,2019-02-13,Papua New Guinea,1250,7
44,2019-02-14,Papua New Guinea,1342,6
45,2019-02-15,Papua New Guinea,999,3
46,2019-02-16,Papua New Guinea,1450,9
47,2019-02-17,Papua New Guinea,723,3
48,2019-02-18,Papua New Guinea,1432,7
49,2019-02-19,Papua New Guinea,1183,4
50,2019-02-20,Papua New Guinea,1135,6
51,2019-02-21,Papua New Guinea,1014,5
52,2019-02-22,Papua New Guinea,1232,5
53,2019-02-23,Papua New Guinea,1560,9
54,2019-02-24,Papua New Guinea,652,3
55,2019-02-25,Papua New Guinea,1516,8
56,2019-02-26,Papua New Guinea,919,4
57,2019-02-27,Papua New Guinea,1059,6
58,2019-02-28,Papua New Guinea,1097,6
59,2019-03-01,Papua New Guinea,1053,4
60,2019-03-02,Papua New Guinea,1199,7
61,2019-03-03,Papua New Guinea,882,3
62,2019-03-04,Papua New Guinea,1502,8
63,2019-03-05,Papua New Guinea,919,4
64,2019-03-06,Papua New Guinea,1203,6
65,2019-03-07,Papua New Guinea,1179,6
66,2019-03-08,Papua New Guinea,824,3
67,2019-03-09,Papua New Guinea,1262,9
68,2019-03-10,Papua New Guinea,745,4
69,2019-03-11,Papua New Guinea,1416,8
70,2019-03-12,Papua New Guinea,847,4
71,2019-03-13,Papua New Guinea,1109,7
72,2019-03-14,Papua New Guinea,1179,6
73,2019-03-15,Papua New Guinea,852,3
74,2019-03-16,Papua New Guinea,1316,9
75,2019-03-17,Papua New Guinea,882,5
76,2019-03-18,Papua New Guinea,1343,7
77,2019-03-19,Papua New Guinea,847,4
78,2019-03-20,Papua New Guinea,1209,7
79,2019-03-21,Papua New Guinea,1063,5
80,2019-03-22,Papua New Guinea,1039,4
81,2019-03-23,Papua New Guinea,1431,9
82,2019-03-24,Papua New Guinea,723,3
83,2019-03-25,Papua New Guinea,1444,8
84,2019-03-26,Papua New Guinea,731,3
85,2019-03-27,Papua New Guinea,1205,6
86,2019-03-28,Papua New Guinea,1227,7
87,2019-03-29,Papua New Guinea,895,3
88,2019-03-30,Papua New Guinea,1344,9
89,2019-03-31,Papua New Guinea,797,3
90,2019-04-01,Papua New Guinea,1704,9
91,2019-04-02,Papua New Guinea,893,4
92,2019-04-03,Papua New Guinea,1226,7
93,2019-04-04,Papua New Guinea,1225,6
94,2019-04-05,Papua New Guinea,1005,4
95,2019-04-06,Papua New Guinea,1246,7
96,2019-04-07,Papua New Guinea,771,4
97,2019-04-08,Papua New Guinea,1418,8
98,2019-04-09,Papua New Guinea,1081,4
99,2019-04-10,Papua New Guinea,1111,7
100,2019-04-11,Papua New Guinea,500,3
101,2019-04-12,Papua New Guinea,1158,5
102,2019-04-13,Papua New Guinea,1139,6
103,2019-04-14,Papua New Guinea,933,5
104,2019-04-15,Papua New Guinea,1326,6
105,2019-04-16,Papua New Guinea,941,5
106,2019-04-17,Papua New Guinea,1357,7
107,2019-04-18,Papua New Guinea,1152,6
108,2019-04-19,Papua New Guinea,1113,5
109,2019-04-20,Papua New Guinea,1474,7
110,2019-04-21,Papua New Guinea,709,3
111,2019-04-22,Papua New Guinea,1445,8
112,2019-04-23,Papua New Guinea,1095,4
113,2019-04-24,Papua New Guinea,1183,7
114,2019-04-25,Papua New Guinea,1225,6
