,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
0,2019-01-01,Vanuatu,552.0,4.0
1,2019-01-02,Vanuatu,584.0,4.0
2,2019-01-03,Vanuatu,408.0,3.0
3,2019-01-04,Vanuatu,674.0,4.0
4,2019-01-05,Vanuatu,652.0,4.0
5,2019-01-06,Vanuatu,730.0,5.0
6,2019-01-07,Vanuatu,686.0,4.0
7,2019-01-08,Vanuatu,710.0,5.0
8,2019-01-09,Vanuatu,584.0,4.0
9,2019-01-10,Vanuatu,408.0,3.0
10,2019-01-11,Vanuatu,316.0,2.0
11,2019-01-12,Vanuatu,652.0,4.0
12,2019-01-13,Vanuatu,730.0,5.0
13,2019-01-14,Vanuatu,686.0,4.0
14,2019-01-15,Vanuatu,698.0,5.0
15,2019-01-16,Vanuatu,584.0,4.0
16,2019-01-17,Vanuatu,408.0,3.0
17,2019-01-18,Vanuatu,498.0,3.0
18,2019-01-19,Vanuatu,584.0,4.0
19,2019-01-20,Vanuatu,798.0,6.0
20,2019-01-21,Vanuatu,686.0,4.0
21,2019-01-22,Vanuatu,698.0,5.0
22,2019-01-23,Vanuatu,584.0,4.0
23,2019-01-24,Vanuatu,408.0,3.0
24,2019-01-25,Vanuatu,668.0,3.0
25,2019-01-26,Vanuatu,652.0,4.0
26,2019-01-27,Vanuatu,554.0,4.0
27,2019-01-28,Vanuatu,686.0,4.0
28,2019-01-29,Vanuatu,698.0,5.0
29,2019-01-30,Vanuatu,584.0,4.0
30,2019-01-31,Vanuatu,408.0,3.0
31,2019-02-01,Vanuatu,498.0,3.0
32,2019-02-02,Vanuatu,584.0,4.0
33,2019-02-03,Vanuatu,384.0,3.0
34,2019-02-04,Vanuatu,856.0,5.0
35,2019-02-05,Vanuatu,212.0,2.0
36,2019-02-06,Vanuatu,584.0,4.0
37,2019-02-07,Vanuatu,238.0,2.0
38,2019-02-08,Vanuatu,498.0,3.0
39,2019-02-09,Vanuatu,584.0,4.0
40,2019-02-10,Vanuatu,384.0,3.0
41,2019-02-11,Vanuatu,686.0,4.0
42,2019-02-12,Vanuatu,382.0,3.0
43,2019-02-13,Vanuatu,584.0,4.0
44,2019-02-14,Vanuatu,238.0,2.0
45,2019-02-15,Vanuatu,668.0,4.0
46,2019-02-16,Vanuatu,584.0,4.0
47,2019-02-17,Vanuatu,384.0,3.0
48,2019-02-18,Vanuatu,514.0,4.0
49,2019-02-19,Vanuatu,482.0,3.0
50,2019-02-20,Vanuatu,584.0,4.0
