destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
WS,"January 1, 2020",5,-7.32%,18.75%,Samoa,38
VU,"January 1, 2020",3,-13.25%,5.88%,Vanuatu,72
TV,"January 1, 2020",12,0.00%,0.00%,Tuvalu,2
TO,"January 1, 2020",4,-18.00%,0.00%,Tonga,41
SB,"January 1, 2020",7,-15.00%,-19.05%,Solomon Islands,17
PW,"January 1, 2020",6,22.73%,42.11%,Palau,27
PG,"January 1, 2020",1,-5.58%,39.60%,Papua New Guinea,423
NR,"January 1, 2020",11,200.00%,-62.50%,Nauru,3
MH,"January 1, 2020",9,16.67%,-30.00%,Marshall Islands (the),7
KI,"January 1, 2020",10,0.00%,0.00%,Kiribati,6
FM,"January 1, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 1, 2020",2,-25.46%,-2.09%,Fiji,281
WS,"January 2, 2020",5,-9.52%,22.58%,Samoa,38
VU,"January 2, 2020",3,-15.48%,4.41%,Vanuatu,71
TV,"January 2, 2020",12,0.00%,-33.33%,Tuvalu,2
TO,"January 2, 2020",4,-4.35%,-2.22%,Tonga,44
SB,"January 2, 2020",7,-15.00%,-19.05%,Solomon Islands,17
PW,"January 2, 2020",6,31.82%,45.00%,Palau,29
PG,"January 2, 2020",1,-7.81%,38.59%,Papua New Guinea,413
NR,"January 2, 2020",11,0.00%,-75.00%,Nauru,2
MH,"January 2, 2020",10,0.00%,-45.45%,Marshall Islands (the),6
KI,"January 2, 2020",9,20.00%,20.00%,Kiribati,6
FM,"January 2, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 2, 2020",2,-13.64%,5.19%,Fiji,304
WS,"January 3, 2020",5,-7.32%,22.58%,Samoa,38
VU,"January 3, 2020",3,-13.41%,4.41%,Vanuatu,71
TV,"January 3, 2020",11,200.00%,0.00%,Tuvalu,3
TO,"January 3, 2020",4,-6.00%,0.00%,Tonga,47
SB,"January 3, 2020",7,-15.00%,-15.00%,Solomon Islands,17
PW,"January 3, 2020",6,38.10%,38.10%,Palau,29
PG,"January 3, 2020",1,-8.54%,35.22%,Papua New Guinea,407
NR,"January 3, 2020",12,-66.67%,-88.89%,Nauru,1
MH,"January 3, 2020",9,0.00%,-40.00%,Marshall Islands (the),6
KI,"January 3, 2020",10,-16.67%,25.00%,Kiribati,5
FM,"January 3, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 3, 2020",2,17.45%,17.85%,Fiji,350
WS,"January 4, 2020",5,7.89%,36.67%,Samoa,41
VU,"January 4, 2020",3,-8.75%,5.80%,Vanuatu,73
TV,"January 4, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 4, 2020",4,-10.00%,-6.25%,Tonga,45
SB,"January 4, 2020",7,-5.26%,-10.00%,Solomon Islands,18
PW,"January 4, 2020",6,31.82%,26.09%,Palau,29
PG,"January 4, 2020",1,-8.22%,36.27%,Papua New Guinea,402
NR,"January 4, 2020",12,-66.67%,-88.89%,Nauru,1
MH,"January 4, 2020",9,0.00%,-40.00%,Marshall Islands (the),6
KI,"January 4, 2020",10,-16.67%,25.00%,Kiribati,5
FM,"January 4, 2020",8,0.00%,-56.00%,Micronesia (Federated States of),11
FJ,"January 4, 2020",2,40.00%,31.25%,Fiji,378
WS,"January 5, 2020",5,-7.69%,20.00%,Samoa,36
VU,"January 5, 2020",3,-9.88%,4.29%,Vanuatu,73
TV,"January 5, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 5, 2020",4,13.33%,13.33%,Tonga,51
SB,"January 5, 2020",7,-5.26%,-10.00%,Solomon Islands,18
PW,"January 5, 2020",6,26.09%,45.00%,Palau,29
PG,"January 5, 2020",1,-8.74%,31.46%,Papua New Guinea,397
MH,"January 5, 2020",9,40.00%,-22.22%,Marshall Islands (the),7
KI,"January 5, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 5, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 5, 2020",2,41.73%,34.16%,Fiji,377
WS,"January 6, 2020",5,-10.53%,13.33%,Samoa,34
VU,"January 6, 2020",3,-3.90%,8.82%,Vanuatu,74
TV,"January 6, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 6, 2020",4,52.63%,38.10%,Tonga,58
SB,"January 6, 2020",7,0.00%,-10.00%,Solomon Islands,18
PW,"January 6, 2020",6,8.00%,28.57%,Palau,27
PG,"January 6, 2020",1,-10.65%,26.97%,Papua New Guinea,386
MH,"January 6, 2020",9,40.00%,-22.22%,Marshall Islands (the),7
KI,"January 6, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 6, 2020",8,11.11%,-62.96%,Micronesia (Federated States of),10
FJ,"January 6, 2020",2,36.47%,30.58%,Fiji,363
WS,"January 7, 2020",5,-15.79%,0.00%,Samoa,32
VU,"January 7, 2020",3,6.85%,14.71%,Vanuatu,78
TV,"January 7, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 7, 2020",4,52.63%,45.00%,Tonga,58
SB,"January 7, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 7, 2020",6,8.00%,28.57%,Palau,27
PG,"January 7, 2020",1,-9.32%,25.48%,Papua New Guinea,389
MH,"January 7, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 7, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 7, 2020",8,22.22%,-57.69%,Micronesia (Federated States of),11
FJ,"January 7, 2020",2,33.96%,28.67%,Fiji,359
WS,"January 8, 2020",5,-10.53%,6.25%,Samoa,34
VU,"January 8, 2020",3,9.72%,11.27%,Vanuatu,79
TV,"January 8, 2020",11,0.00%,0.00%,Tuvalu,2
TO,"January 8, 2020",4,26.83%,8.33%,Tonga,52
SB,"January 8, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 8, 2020",6,-7.41%,19.05%,Palau,25
PG,"January 8, 2020",1,-6.38%,23.75%,Papua New Guinea,396
MH,"January 8, 2020",9,-14.29%,-25.00%,Marshall Islands (the),6
KI,"January 8, 2020",10,-16.67%,0.00%,Kiribati,5
FM,"January 8, 2020",8,0.00%,-61.54%,Micronesia (Federated States of),10
FJ,"January 8, 2020",2,18.86%,18.44%,Fiji,334
WS,"January 9, 2020",5,-10.53%,3.03%,Samoa,34
VU,"January 9, 2020",3,7.04%,8.57%,Vanuatu,76
TV,"January 9, 2020",11,0.00%,0.00%,Tuvalu,2
TO,"January 9, 2020",4,11.36%,0.00%,Tonga,49
SB,"January 9, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 9, 2020",6,-17.24%,20.00%,Palau,24
PG,"January 9, 2020",1,-2.18%,25.86%,Papua New Guinea,404
NR,"January 9, 2020",12,-50.00%,-87.50%,Nauru,1
MH,"January 9, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 9, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 9, 2020",8,0.00%,-61.54%,Micronesia (Federated States of),10
FJ,"January 9, 2020",2,3.29%,12.14%,Fiji,314
WS,"January 10, 2020",5,-10.53%,0.00%,Samoa,34
VU,"January 10, 2020",3,11.27%,11.27%,Vanuatu,79
TV,"January 10, 2020",12,-33.33%,0.00%,Tuvalu,2
TO,"January 10, 2020",4,0.00%,-4.08%,Tonga,47
SB,"January 10, 2020",7,11.76%,-9.52%,Solomon Islands,19
PW,"January 10, 2020",6,-17.24%,20.00%,Palau,24
PG,"January 10, 2020",1,-0.25%,22.29%,Papua New Guinea,406
NR,"January 10, 2020",11,200.00%,-62.50%,Nauru,3
MH,"January 10, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 10, 2020",10,0.00%,-28.57%,Kiribati,5
FM,"January 10, 2020",8,0.00%,-62.96%,Micronesia (Federated States of),10
FJ,"January 10, 2020",2,-9.43%,14.86%,Fiji,317
WS,"January 11, 2020",5,-14.63%,-5.41%,Samoa,35
VU,"January 11, 2020",3,10.96%,19.12%,Vanuatu,81
TV,"January 11, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"January 11, 2020",4,4.44%,-6.00%,Tonga,47
SB,"January 11, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 11, 2020",6,-20.69%,21.05%,Palau,23
PG,"January 11, 2020",1,0.50%,27.04%,Papua New Guinea,404
NR,"January 11, 2020",11,200.00%,-57.14%,Nauru,3
MH,"January 11, 2020",9,33.33%,0.00%,Marshall Islands (the),8
KI,"January 11, 2020",10,20.00%,-14.29%,Kiribati,6
FM,"January 11, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 11, 2020",2,-17.72%,15.19%,Fiji,311
WS,"January 12, 2020",5,2.78%,-2.63%,Samoa,37
VU,"January 12, 2020",3,12.33%,22.39%,Vanuatu,82
TV,"January 12, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"January 12, 2020",4,-7.84%,-11.32%,Tonga,47
SB,"January 12, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 12, 2020",6,-24.14%,10.00%,Palau,22
PG,"January 12, 2020",1,2.02%,23.48%,Papua New Guinea,405
NR,"January 12, 2020",11,,-57.14%,Nauru,3
MH,"January 12, 2020",9,0.00%,-12.50%,Marshall Islands (the),7
KI,"January 12, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 12, 2020",8,0.00%,-60.00%,Micronesia (Federated States of),10
FJ,"January 12, 2020",2,-16.71%,14.60%,Fiji,314
WS,"January 13, 2020",5,11.76%,0.00%,Samoa,38
VU,"January 13, 2020",3,13.51%,25.37%,Vanuatu,84
TV,"January 13, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"January 13, 2020",4,-22.41%,-19.64%,Tonga,45
SB,"January 13, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 13, 2020",6,-14.81%,21.05%,Palau,23
PG,"January 13, 2020",1,7.25%,25.84%,Papua New Guinea,414
NR,"January 13, 2020",11,,-50.00%,Nauru,3
MH,"January 13, 2020",9,0.00%,0.00%,Marshall Islands (the),7
KI,"January 13, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 13, 2020",8,0.00%,-58.33%,Micronesia (Federated States of),10
FJ,"January 13, 2020",2,-11.57%,14.64%,Fiji,321
WS,"January 14, 2020",5,18.75%,0.00%,Samoa,38
VU,"January 14, 2020",3,1.28%,17.91%,Vanuatu,79
TV,"January 14, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"January 14, 2020",4,-17.24%,-20.00%,Tonga,48
