destination_iso_country,Day of date,psg_ranking,psg_wow_change,psg_yoy_change,destination_country,passengers_number_7days
WS,"January 1, 2020",4,-14.46%,0.26%,Samoa,6146
VU,"January 1, 2020",3,-8.16%,7.50%,Vanuatu,7566
TV,"January 1, 2020",12,0.00%,0.00%,Tuvalu,128
TO,"January 1, 2020",6,-45.49%,-25.76%,Tonga,2530
SB,"January 1, 2020",7,-14.83%,-17.17%,Solomon Islands,2268
PW,"January 1, 2020",5,29.42%,45.39%,Palau,4183
PG,"January 1, 2020",1,-4.42%,27.96%,Papua New Guinea,33124
NR,"January 1, 2020",11,206.25%,-61.64%,Nauru,392
MH,"January 1, 2020",9,32.94%,-11.79%,Marshall Islands (the),1130
KI,"January 1, 2020",10,18.50%,12.86%,Kiribati,948
FM,"January 1, 2020",8,-4.02%,-56.03%,Micronesia (Federated States of),1383
FJ,"January 1, 2020",2,-22.74%,-17.06%,Fiji,26874
WS,"January 2, 2020",4,-20.38%,0.57%,Samoa,5851
VU,"January 2, 2020",3,-11.85%,5.14%,Vanuatu,7406
TV,"January 2, 2020",12,0.00%,-33.33%,Tuvalu,128
TO,"January 2, 2020",6,-32.73%,-24.27%,Tonga,2849
SB,"January 2, 2020",7,-14.41%,-16.95%,Solomon Islands,2274
PW,"January 2, 2020",5,34.64%,44.80%,Palau,4454
PG,"January 2, 2020",1,-6.76%,26.84%,Papua New Guinea,32506
NR,"January 2, 2020",11,0.00%,-74.51%,Nauru,260
MH,"January 2, 2020",9,16.86%,-35.82%,Marshall Islands (the),998
KI,"January 2, 2020",10,41.07%,41.49%,Kiribati,948
FM,"January 2, 2020",8,-7.77%,-58.46%,Micronesia (Federated States of),1329
FJ,"January 2, 2020",2,-15.13%,-13.21%,Fiji,28362
WS,"January 3, 2020",4,-17.42%,1.36%,Samoa,5897
VU,"January 3, 2020",3,-8.89%,6.79%,Vanuatu,7522
TV,"January 3, 2020",11,200.00%,0.00%,Tuvalu,192
TO,"January 3, 2020",6,-12.33%,-17.96%,Tonga,3142
SB,"January 3, 2020",7,-16.18%,-12.81%,Solomon Islands,2274
PW,"January 3, 2020",5,43.71%,43.62%,Palau,4524
PG,"January 3, 2020",2,-7.39%,23.44%,Papua New Guinea,32039
NR,"January 3, 2020",12,-65.98%,-88.56%,Nauru,132
MH,"January 3, 2020",9,10.54%,-33.94%,Marshall Islands (the),944
KI,"January 3, 2020",10,1.49%,50.00%,Kiribati,816
FM,"January 3, 2020",8,-7.77%,-59.35%,Micronesia (Federated States of),1329
FJ,"January 3, 2020",1,11.25%,-3.99%,Fiji,32109
WS,"January 4, 2020",4,2.86%,19.18%,Samoa,6679
VU,"January 4, 2020",3,-5.79%,7.47%,Vanuatu,7650
TV,"January 4, 2020",11,200.00%,50.00%,Tuvalu,192
TO,"January 4, 2020",6,-15.12%,-31.66%,Tonga,2936
SB,"January 4, 2020",7,-5.67%,-7.35%,Solomon Islands,2444
PW,"January 4, 2020",5,33.82%,29.11%,Palau,4475
PG,"January 4, 2020",2,-8.46%,22.31%,Papua New Guinea,31514
NR,"January 4, 2020",12,-65.98%,-88.60%,Nauru,132
MH,"January 4, 2020",9,10.54%,-33.94%,Marshall Islands (the),944
KI,"January 4, 2020",10,1.49%,50.00%,Kiribati,816
FM,"January 4, 2020",8,-3.16%,-55.06%,Micronesia (Federated States of),1469
FJ,"January 4, 2020",1,32.25%,4.29%,Fiji,34138
WS,"January 5, 2020",4,-3.53%,8.48%,Samoa,6155
VU,"January 5, 2020",3,-11.17%,4.87%,Vanuatu,7538
TV,"January 5, 2020",11,200.00%,50.00%,Tuvalu,192
TO,"January 5, 2020",6,8.31%,-20.05%,Tonga,3246
SB,"January 5, 2020",7,-5.12%,-7.35%,Solomon Islands,2444
PW,"January 5, 2020",5,32.36%,52.48%,Palau,4524
PG,"January 5, 2020",2,-8.70%,18.23%,Papua New Guinea,31114
MH,"January 5, 2020",9,39.45%,-14.22%,Marshall Islands (the),1110
KI,"January 5, 2020",10,6.09%,20.48%,Kiribati,853
FM,"January 5, 2020",8,-17.06%,-59.24%,Micronesia (Federated States of),1303
FJ,"January 5, 2020",1,27.71%,2.79%,Fiji,33496
WS,"January 6, 2020",4,5.50%,12.73%,Samoa,6403
VU,"January 6, 2020",3,-4.59%,9.68%,Vanuatu,7724
TV,"January 6, 2020",11,200.00%,50.00%,Tuvalu,192
TO,"January 6, 2020",6,25.14%,-13.34%,Tonga,3470
SB,"January 6, 2020",7,0.00%,-7.42%,Solomon Islands,2444
PW,"January 6, 2020",5,7.01%,29.97%,Palau,4107
PG,"January 6, 2020",2,-10.97%,13.53%,Papua New Guinea,30099
MH,"January 6, 2020",9,39.45%,-6.41%,Marshall Islands (the),1110
KI,"January 6, 2020",10,6.09%,19.47%,Kiribati,853
FM,"January 6, 2020",8,0.77%,-60.20%,Micronesia (Federated States of),1303
FJ,"January 6, 2020",1,23.00%,-2.19%,Fiji,32191
WS,"January 7, 2020",4,1.87%,0.83%,Samoa,5979
VU,"January 7, 2020",3,3.61%,14.09%,Vanuatu,8034
TV,"January 7, 2020",11,200.00%,50.00%,Tuvalu,192
TO,"January 7, 2020",6,85.67%,-4.39%,Tonga,3899
SB,"January 7, 2020",7,13.05%,-2.88%,Solomon Islands,2564
PW,"January 7, 2020",5,7.98%,32.21%,Palau,4125
PG,"January 7, 2020",2,-9.65%,9.79%,Papua New Guinea,30344
MH,"January 7, 2020",9,-0.31%,-14.80%,Marshall Islands (the),961
KI,"January 7, 2020",10,-5.22%,19.47%,Kiribati,853
FM,"January 7, 2020",8,23.66%,-51.58%,Micronesia (Federated States of),1505
FJ,"January 7, 2020",1,21.91%,-2.88%,Fiji,31661
WS,"January 8, 2020",4,-1.61%,3.65%,Samoa,6047
VU,"January 8, 2020",3,8.64%,11.99%,Vanuatu,8220
TV,"January 8, 2020",11,0.00%,0.00%,Tuvalu,128
TO,"January 8, 2020",6,33.95%,-27.99%,Tonga,3389
SB,"January 8, 2020",7,15.52%,-0.76%,Solomon Islands,2620
PW,"January 8, 2020",5,-9.73%,20.79%,Palau,3776
PG,"January 8, 2020",1,-7.59%,7.48%,Papua New Guinea,30610
MH,"January 8, 2020",9,-29.65%,-29.52%,Marshall Islands (the),795
KI,"January 8, 2020",10,-27.95%,-4.34%,Kiribati,683
FM,"January 8, 2020",8,-3.18%,-59.05%,Micronesia (Federated States of),1339
FJ,"January 8, 2020",2,13.38%,-6.99%,Fiji,30471
WS,"January 9, 2020",4,5.85%,5.81%,Samoa,6193
VU,"January 9, 2020",3,8.10%,10.18%,Vanuatu,8006
TV,"January 9, 2020",12,0.00%,0.00%,Tuvalu,128
TO,"January 9, 2020",6,13.34%,-28.12%,Tonga,3229
SB,"January 9, 2020",7,15.22%,-0.76%,Solomon Islands,2620
PW,"January 9, 2020",5,-17.74%,25.18%,Palau,3664
PG,"January 9, 2020",1,-4.02%,9.02%,Papua New Guinea,31198
NR,"January 9, 2020",11,-50.77%,-87.72%,Nauru,128
MH,"January 9, 2020",9,-7.52%,-18.17%,Marshall Islands (the),923
KI,"January 9, 2020",10,-27.95%,-22.74%,Kiribati,683
FM,"January 9, 2020",8,4.82%,-57.40%,Micronesia (Federated States of),1393
FJ,"January 9, 2020",2,4.20%,-9.22%,Fiji,29554
WS,"January 10, 2020",4,4.78%,2.52%,Samoa,6179
VU,"January 10, 2020",3,9.17%,11.94%,Vanuatu,8212
TV,"January 10, 2020",12,-33.33%,0.00%,Tuvalu,128
TO,"January 10, 2020",6,6.94%,-25.70%,Tonga,3360
SB,"January 10, 2020",7,15.22%,-5.42%,Solomon Islands,2620
PW,"January 10, 2020",5,-19.36%,20.56%,Palau,3648
PG,"January 10, 2020",1,-2.11%,6.07%,Papua New Guinea,31363
NR,"January 10, 2020",11,190.91%,-62.93%,Nauru,384
MH,"January 10, 2020",9,3.50%,-13.39%,Marshall Islands (the),977
KI,"January 10, 2020",10,-16.30%,-32.38%,Kiribati,683
FM,"January 10, 2020",8,4.82%,-59.44%,Micronesia (Federated States of),1393
FJ,"January 10, 2020",2,-7.59%,-8.16%,Fiji,29672
WS,"January 11, 2020",4,-10.78%,-8.70%,Samoa,5959
