,destination_iso_country,date,flights_number_7days,week
0,FJ,2020-01-01,281,0
1,FJ,2020-01-02,304,0
2,FJ,2020-01-03,350,0
3,FJ,2020-01-04,378,0
4,FJ,2020-01-05,377,0
5,FJ,2020-01-06,363,0
6,FJ,2020-01-07,359,0
7,FJ,2020-01-08,334,1
8,FJ,2020-01-09,314,1
9,FJ,2020-01-10,317,1
10,FJ,2020-01-11,311,1
11,FJ,2020-01-12,314,1
12,FJ,2020-01-13,321,1
13,FJ,2020-01-14,326,1
14,FJ,2020-01-15,338,2
15,FJ,2020-01-16,347,2
16,FJ,2020-01-17,331,2
17,FJ,2020-01-18,337,2
18,FJ,2020-01-19,337,2
19,FJ,2020-01-20,337,2
20,FJ,2020-01-21,339,2
21,FJ,2020-01-22,342,3
22,FJ,2020-01-23,349,3
23,FJ,2020-01-24,353,3
24,FJ,2020-01-25,349,3
25,FJ,2020-01-26,345,3
26,FJ,2020-01-27,337,3
27,FJ,2020-01-28,320,3
28,FJ,2020-01-29,317,4
29,FJ,2020-01-30,310,4
30,FJ,2020-01-31,317,4
31,FJ,2020-02-01,307,4
32,FJ,2020-02-02,304,4
33,FJ,2020-02-03,309,4
34,FJ,2020-02-04,314,4
35,FJ,2020-02-05,312,5
36,FJ,2020-02-06,308,5
37,FJ,2020-02-07,304,5
38,FJ,2020-02-08,305,5
39,FJ,2020-02-09,306,5
40,FJ,2020-02-10,304,5
41,FJ,2020-02-11,301,5
42,FJ,2020-02-12,302,6
43,FJ,2020-02-13,310,6
44,FJ,2020-02-14,308,6
45,FJ,2020-02-15,306,6
46,FJ,2020-02-16,307,6
47,FJ,2020-02-17,299,6
48,FJ,2020-02-18,298,6
49,FJ,2020-02-19,292,7
50,FJ,2020-02-20,271,7
51,FJ,2020-02-21,257,7
52,FJ,2020-02-22,243,7
53,FJ,2020-02-23,225,7
54,FJ,2020-02-24,214,7
55,FJ,2020-02-25,206,7
56,FJ,2020-02-26,195,8
57,FJ,2020-02-27,196,8
58,FJ,2020-02-28,196,8
59,FJ,2020-02-29,198,8
60,FJ,2020-03-01,196,8
61,FJ,2020-03-02,199,8
62,FJ,2020-03-03,193,8
63,FJ,2020-03-04,189,9
64,FJ,2020-03-05,188,9
65,FJ,2020-03-06,190,9
66,FJ,2020-03-07,187,9
67,FJ,2020-03-08,193,9
68,FJ,2020-03-09,205,9
69,FJ,2020-03-10,219,9
70,FJ,2020-03-11,238,10
71,FJ,2020-03-12,251,10
72,FJ,2020-03-13,263,10
73,FJ,2020-03-14,278,10
74,FJ,2020-03-15,287,10
75,FJ,2020-03-16,286,10
76,FJ,2020-03-17,283,10
77,FJ,2020-03-18,283,11
78,FJ,2020-03-19,267,11
79,FJ,2020-03-20,244,11
80,FJ,2020-03-21,226,11
81,FJ,2020-03-22,202,11
82,FJ,2020-03-23,177,11
83,FJ,2020-03-24,158,11
84,FJ,2020-03-25,133,12
85,FJ,2020-03-26,119,12
86,FJ,2020-03-27,113,12
87,FJ,2020-03-28,101,12
88,FJ,2020-03-29,88,12
89,FJ,2020-03-30,78,12
90,FJ,2020-03-31,64,12
91,FJ,2020-04-01,48,13
92,FJ,2020-04-02,38,13
93,FJ,2020-04-03,27,13
94,FJ,2020-04-04,22,13
95,FJ,2020-04-05,17,13
96,FJ,2020-04-06,12,13
97,FJ,2020-04-07,9,13
98,FJ,2020-04-08,7,14
99,FJ,2020-04-09,6,14
100,FJ,2020-04-10,9,14
101,FJ,2020-04-11,5,14
102,FJ,2020-04-12,3,14
103,FJ,2020-04-13,3,14
104,FJ,2020-04-14,3,14
105,FJ,2020-04-15,3,15
106,FJ,2020-04-16,4,15
107,FJ,2020-04-17,3,15
108,FJ,2020-04-18,3,15
109,FJ,2020-04-19,5,15
110,FJ,2020-04-20,9,15
111,FJ,2020-04-21,11,15
112,FJ,2020-04-22,13,16
113,FJ,2020-04-23,18,16
114,FJ,2020-04-24,22,16
115,FJ,2020-04-25,27,16
116,FJ,2020-04-26,31,16
117,FJ,2020-04-27,33,16
118,FJ,2020-04-28,44,16
119,FJ,2020-04-29,51,17
120,FJ,2020-04-30,54,17
121,FJ,2020-05-01,55,17
122,FJ,2020-05-02,59,17
123,FJ,2020-05-03,64,17
124,FJ,2020-05-04,68,17
125,FJ,2020-05-05,65,17
126,FJ,2020-05-06,66,18
127,FJ,2020-05-07,70,18
128,FJ,2020-05-08,70,18
129,FJ,2020-05-09,66,18
130,FJ,2020-05-10,64,18
131,FJ,2020-05-11,63,18
132,FJ,2020-05-12,66,18
133,FJ,2020-05-13,66,19
134,FJ,2020-05-14,62,19
135,FJ,2020-05-15,65,19
136,FJ,2020-05-16,69,19
137,FJ,2020-05-17,66,19
138,FJ,2020-05-18,63,19
139,FJ,2020-05-19,54,19
140,FJ,2020-05-20,51,20
141,FJ,2020-05-21,49,20
142,FJ,2020-05-22,47,20
143,FJ,2020-05-23,43,20
144,FJ,2020-05-24,43,20
145,FJ,2020-05-25,42,20
146,FJ,2020-05-26,41,20
147,FJ,2020-05-27,40,21
148,FJ,2020-05-28,40,21
149,FJ,2020-05-29,40,21
150,FJ,2020-05-30,40,21
151,FJ,2020-05-31,38,21
152,FJ,2020-06-01,36,21
153,FJ,2020-06-02,39,21
154,FJ,2020-06-03,38,22
155,FJ,2020-06-04,39,22
156,FJ,2020-06-05,37,22
157,FJ,2020-06-06,39,22
158,FJ,2020-06-07,41,22
159,FJ,2020-06-08,42,22
160,FJ,2020-06-09,40,22
161,FJ,2020-06-10,38,23
162,FJ,2020-06-11,37,23
163,FJ,2020-06-12,38,23
164,FJ,2020-06-13,37,23
165,FJ,2020-06-14,36,23
166,FJ,2020-06-15,36,23
167,FJ,2020-06-16,35,23
168,FJ,2020-06-17,35,24
169,FJ,2020-06-18,34,24
170,FJ,2020-06-19,34,24
171,FJ,2020-06-20,34,24
172,FJ,2020-06-21,36,24
173,FJ,2020-06-22,39,24
174,FJ,2020-06-23,41,24
175,FJ,2020-06-24,41,25
176,FJ,2020-06-25,41,25
177,FJ,2020-06-26,43,25
178,FJ,2020-06-27,42,25
179,FJ,2020-06-28,43,25
180,FJ,2020-06-29,42,25
181,FJ,2020-06-30,39,25
182,FJ,2020-07-01,42,26
183,FJ,2020-07-02,43,26
184,FJ,2020-07-03,41,26
185,FJ,2020-07-04,40,26
186,FJ,2020-07-05,40,26
187,FJ,2020-07-06,38,26
188,FJ,2020-07-07,36,26
189,FJ,2020-07-08,32,27
190,FJ,2020-07-09,25,27
191,FJ,2020-07-10,19,27
192,FJ,2020-07-11,17,27
193,FJ,2020-07-12,9,27
194,FJ,2020-07-13,7,27
195,FJ,2020-07-14,8,27
196,FJ,2020-07-15,9,28
197,FJ,2020-07-16,9,28
198,FJ,2020-07-17,8,28
199,FJ,2020-07-18,7,28
200,FJ,2020-07-19,14,28
201,FJ,2020-07-20,17,28
202,FJ,2020-07-21,21,28
203,FJ,2020-07-22,24,29
204,FJ,2020-07-23,31,29
