,destination_iso_country,date,flights_number_7days,week
0,FM,2020-01-01,10,0
1,FM,2020-01-02,10,0
2,FM,2020-01-03,10,0
3,FM,2020-01-04,11,0
4,FM,2020-01-05,10,0
5,FM,2020-01-06,10,0
6,FM,2020-01-07,11,0
7,FM,2020-01-08,10,1
8,FM,2020-01-09,10,1
9,FM,2020-01-10,10,1
10,FM,2020-01-11,10,1
11,FM,2020-01-12,10,1
12,FM,2020-01-13,10,1
13,FM,2020-01-14,9,1
14,FM,2020-01-15,9,2
15,FM,2020-01-16,9,2
16,FM,2020-01-17,9,2
17,FM,2020-01-18,8,2
18,FM,2020-01-19,9,2
19,FM,2020-01-20,9,2
20,FM,2020-01-21,10,2
21,FM,2020-01-22,10,3
22,FM,2020-01-23,10,3
23,FM,2020-01-24,10,3
24,FM,2020-01-25,10,3
25,FM,2020-01-26,8,3
26,FM,2020-01-27,9,3
27,FM,2020-01-28,8,3
28,FM,2020-01-29,8,4
29,FM,2020-01-30,8,4
30,FM,2020-01-31,8,4
31,FM,2020-02-01,9,4
32,FM,2020-02-02,10,4
33,FM,2020-02-03,9,4
34,FM,2020-02-04,9,4
35,FM,2020-02-05,9,5
36,FM,2020-02-06,9,5
37,FM,2020-02-07,9,5
38,FM,2020-02-08,7,5
39,FM,2020-02-09,7,5
40,FM,2020-02-10,7,5
41,FM,2020-02-11,7,5
42,FM,2020-02-12,7,6
43,FM,2020-02-13,7,6
44,FM,2020-02-14,7,6
45,FM,2020-02-15,7,6
46,FM,2020-02-16,7,6
47,FM,2020-02-17,7,6
48,FM,2020-02-18,7,6
49,FM,2020-02-19,7,7
50,FM,2020-02-20,7,7
51,FM,2020-02-21,7,7
52,FM,2020-02-22,7,7
53,FM,2020-02-23,7,7
54,FM,2020-02-24,7,7
55,FM,2020-02-25,7,7
56,FM,2020-02-26,7,8
57,FM,2020-02-27,7,8
58,FM,2020-02-28,7,8
59,FM,2020-02-29,7,8
60,FM,2020-03-01,7,8
61,FM,2020-03-02,7,8
62,FM,2020-03-03,7,8
63,FM,2020-03-04,7,9
64,FM,2020-03-05,7,9
65,FM,2020-03-06,7,9
66,FM,2020-03-07,7,9
67,FM,2020-03-08,7,9
68,FM,2020-03-09,7,9
69,FM,2020-03-10,7,9
70,FM,2020-03-11,7,10
71,FM,2020-03-12,7,10
72,FM,2020-03-13,7,10
73,FM,2020-03-14,7,10
74,FM,2020-03-15,7,10
75,FM,2020-03-16,7,10
76,FM,2020-03-17,7,10
77,FM,2020-03-18,7,11
78,FM,2020-03-19,6,11
79,FM,2020-03-20,6,11
80,FM,2020-03-21,5,11
81,FM,2020-03-22,4,11
82,FM,2020-03-23,4,11
83,FM,2020-03-24,2,11
84,FM,2020-03-25,2,12
85,FM,2020-03-26,2,12
86,FM,2020-03-27,2,12
87,FM,2020-03-28,1,12
88,FM,2020-03-29,2,12
89,FM,2020-03-30,2,12
90,FM,2020-03-31,2,12
91,FM,2020-04-01,2,13
92,FM,2020-04-02,2,13
93,FM,2020-04-03,2,13
94,FM,2020-04-04,1,13
95,FM,2020-04-12,1,14
96,FM,2020-04-13,1,14
97,FM,2020-04-14,1,14
98,FM,2020-04-15,1,15
99,FM,2020-04-16,1,15
100,FM,2020-04-17,1,15
101,FM,2020-04-18,1,15
102,FM,2020-05-09,1,18
103,FM,2020-05-10,1,18
104,FM,2020-05-11,1,18
105,FM,2020-05-12,1,18
106,FM,2020-05-13,1,19
107,FM,2020-05-14,1,19
108,FM,2020-05-15,1,19
109,FM,2020-05-16,1,19
110,FM,2020-05-17,1,19
111,FM,2020-05-18,1,19
112,FM,2020-05-19,2,19
113,FM,2020-05-20,2,20
114,FM,2020-05-21,2,20
115,FM,2020-05-22,2,20
116,FM,2020-05-23,1,20
117,FM,2020-05-24,1,20
118,FM,2020-05-25,1,20
119,FM,2020-06-06,1,22
120,FM,2020-06-07,1,22
121,FM,2020-06-08,1,22
122,FM,2020-06-09,1,22
123,FM,2020-06-10,1,23
124,FM,2020-06-11,1,23
125,FM,2020-06-12,1,23
