,destination_iso_country,date,flights_number_7days,week
0,KI,2020-01-01,6,0
1,KI,2020-01-02,6,0
2,KI,2020-01-03,5,0
3,KI,2020-01-04,5,0
4,KI,2020-01-05,6,0
5,KI,2020-01-06,6,0
6,KI,2020-01-07,6,0
7,KI,2020-01-08,5,1
8,KI,2020-01-09,5,1
9,KI,2020-01-10,5,1
10,KI,2020-01-11,6,1
11,KI,2020-01-12,5,1
12,KI,2020-01-13,5,1
13,KI,2020-01-14,5,1
14,KI,2020-01-15,6,2
15,KI,2020-01-16,6,2
16,KI,2020-01-17,7,2
17,KI,2020-01-18,7,2
18,KI,2020-01-19,7,2
19,KI,2020-01-20,7,2
20,KI,2020-01-21,7,2
21,KI,2020-01-22,7,3
22,KI,2020-01-23,7,3
23,KI,2020-01-24,6,3
24,KI,2020-01-25,6,3
25,KI,2020-01-26,5,3
26,KI,2020-01-27,6,3
27,KI,2020-01-28,5,3
28,KI,2020-01-29,6,4
29,KI,2020-01-30,8,4
30,KI,2020-01-31,9,4
31,KI,2020-02-01,9,4
32,KI,2020-02-02,9,4
33,KI,2020-02-03,10,4
34,KI,2020-02-04,10,4
35,KI,2020-02-05,10,5
36,KI,2020-02-06,8,5
37,KI,2020-02-07,8,5
38,KI,2020-02-08,8,5
39,KI,2020-02-09,8,5
40,KI,2020-02-10,7,5
41,KI,2020-02-11,8,5
42,KI,2020-02-12,7,6
43,KI,2020-02-13,7,6
44,KI,2020-02-14,6,6
45,KI,2020-02-15,6,6
46,KI,2020-02-16,6,6
47,KI,2020-02-17,6,6
48,KI,2020-02-18,5,6
49,KI,2020-02-19,4,7
50,KI,2020-02-20,4,7
51,KI,2020-02-21,4,7
52,KI,2020-02-22,4,7
53,KI,2020-02-23,4,7
54,KI,2020-02-24,3,7
55,KI,2020-02-25,4,7
56,KI,2020-02-26,3,8
57,KI,2020-02-27,3,8
58,KI,2020-02-28,3,8
59,KI,2020-02-29,3,8
60,KI,2020-03-01,3,8
61,KI,2020-03-02,3,8
62,KI,2020-03-03,1,8
63,KI,2020-03-04,3,9
64,KI,2020-03-05,3,9
65,KI,2020-03-06,4,9
66,KI,2020-03-07,4,9
67,KI,2020-03-08,4,9
68,KI,2020-03-09,5,9
69,KI,2020-03-10,7,9
70,KI,2020-03-11,7,10
71,KI,2020-03-12,7,10
72,KI,2020-03-13,7,10
73,KI,2020-03-14,6,10
74,KI,2020-03-15,7,10
75,KI,2020-03-16,6,10
76,KI,2020-03-17,5,10
77,KI,2020-03-18,5,11
78,KI,2020-03-19,5,11
79,KI,2020-03-20,4,11
80,KI,2020-03-21,4,11
81,KI,2020-03-22,3,11
82,KI,2020-03-23,3,11
83,KI,2020-03-24,2,11
84,KI,2020-04-04,1,13
85,KI,2020-04-05,1,13
86,KI,2020-04-06,1,13
87,KI,2020-04-07,1,13
88,KI,2020-04-08,1,14
89,KI,2020-04-09,1,14
90,KI,2020-04-10,1,14
91,KI,2020-05-01,1,17
92,KI,2020-05-02,1,17
93,KI,2020-05-03,1,17
94,KI,2020-05-04,1,17
95,KI,2020-05-05,1,17
96,KI,2020-05-06,1,18
97,KI,2020-05-07,1,18
98,KI,2020-08-24,2,33
99,KI,2020-08-25,2,33
100,KI,2020-08-26,2,34
101,KI,2020-08-27,2,34
102,KI,2020-08-28,2,34
103,KI,2020-08-29,2,34
104,KI,2020-08-30,2,34
105,KI,2020-09-01,1,34
106,KI,2020-09-02,1,35
107,KI,2020-09-03,1,35
108,KI,2020-09-04,1,35
109,KI,2020-09-05,1,35
110,KI,2020-09-06,1,35
111,KI,2020-09-07,1,35
112,KI,2020-09-24,1,38
113,KI,2020-09-25,1,38
114,KI,2020-09-26,1,38
115,KI,2020-09-27,1,38
116,KI,2020-09-28,1,38
117,KI,2020-09-29,1,38
118,KI,2020-09-30,1,39
119,KI,2020-10-14,1,41
120,KI,2020-10-15,1,41
121,KI,2020-10-16,1,41
122,KI,2020-10-17,1,41
123,KI,2020-10-18,1,41
124,KI,2020-10-19,1,41
125,KI,2020-10-20,1,41
126,KI,2020-11-18,2,46
127,KI,2020-11-19,2,46
128,KI,2020-11-20,2,46
129,KI,2020-11-21,2,46
130,KI,2020-11-22,2,46
131,KI,2020-11-23,2,46
132,KI,2020-11-24,2,46
133,KI,2020-12-13,1,49
134,KI,2020-12-14,1,49
135,KI,2020-12-15,1,49
136,KI,2020-12-16,1,50
137,KI,2020-12-17,1,50
138,KI,2020-12-18,1,50
139,KI,2020-12-19,1,50
140,KI,2021-01-10,1,53
141,KI,2021-01-11,1,53
142,KI,2021-01-12,1,53
143,KI,2021-01-13,1,54
144,KI,2021-01-14,1,54
145,KI,2021-01-15,1,54
146,KI,2021-01-16,1,54
147,KI,2021-01-24,1,55
148,KI,2021-01-25,1,55
149,KI,2021-01-26,1,55
150,KI,2021-01-27,1,56
151,KI,2021-01-28,1,56
152,KI,2021-01-29,1,56
153,KI,2021-01-30,1,56
154,KI,2021-02-02,1,56
155,KI,2021-02-03,1,57
156,KI,2021-02-04,1,57
157,KI,2021-02-05,1,57
158,KI,2021-02-06,1,57
159,KI,2021-02-07,1,57
160,KI,2021-02-08,1,57
161,KI,2021-03-06,1,61
162,KI,2021-03-07,1,61
163,KI,2021-03-08,1,61
164,KI,2021-03-09,1,61
165,KI,2021-03-10,1,62
166,KI,2021-03-11,1,62
167,KI,2021-03-12,1,62
168,KI,2021-03-13,1,62
169,KI,2021-03-14,1,62
170,KI,2021-03-15,1,62
171,KI,2021-03-16,2,62
172,KI,2021-03-17,2,63
173,KI,2021-03-18,2,63
174,KI,2021-03-19,2,63
175,KI,2021-03-20,1,63
176,KI,2021-03-21,1,63
177,KI,2021-03-22,1,63
178,KI,2021-03-27,1,64
179,KI,2021-03-28,1,64
180,KI,2021-03-29,1,64
181,KI,2021-03-30,1,64
182,KI,2021-03-31,1,65
183,KI,2021-04-01,1,65
184,KI,2021-04-02,1,65
185,KI,2021-04-03,1,65
186,KI,2021-04-04,1,65
187,KI,2021-04-05,1,65
188,KI,2021-04-06,1,65
189,KI,2021-04-07,1,66
190,KI,2021-04-08,1,66
191,KI,2021-04-09,1,66
192,KI,2021-04-17,1,67
193,KI,2021-04-18,1,67
194,KI,2021-04-19,1,67
195,KI,2021-04-20,1,67
196,KI,2021-04-21,1,68
197,KI,2021-04-22,1,68
198,KI,2021-04-23,1,68
199,KI,2021-05-09,2,70
200,KI,2021-05-10,2,70
201,KI,2021-05-11,2,70
202,KI,2021-05-12,2,71
203,KI,2021-05-13,2,71
204,KI,2021-05-14,2,71
205,KI,2021-05-15,2,71
206,KI,2021-10-12,1,92
207,KI,2021-10-13,1,93
208,KI,2021-10-14,1,93
209,KI,2021-10-15,1,93
210,KI,2021-10-16,1,93
211,KI,2021-10-17,1,93
212,KI,2021-10-18,1,93
213,KI,2021-10-22,1,94
214,KI,2021-10-23,2,94
215,KI,2021-10-24,2,94
216,KI,2021-10-25,2,94
217,KI,2021-10-26,2,94
218,KI,2021-10-27,2,95
219,KI,2021-10-28,2,95
220,KI,2021-10-29,1,95
221,KI,2021-11-26,1,99
