,destination_iso_country,date,flights_number_7days,week
0,MH,2020-01-01,7,0
1,MH,2020-01-02,6,0
2,MH,2020-01-03,6,0
3,MH,2020-01-04,6,0
4,MH,2020-01-05,7,0
5,MH,2020-01-06,7,0
6,MH,2020-01-07,7,0
7,MH,2020-01-08,6,1
8,MH,2020-01-09,7,1
9,MH,2020-01-10,7,1
10,MH,2020-01-11,8,1
11,MH,2020-01-12,7,1
12,MH,2020-01-13,7,1
13,MH,2020-01-14,6,1
14,MH,2020-01-15,6,2
15,MH,2020-01-16,6,2
16,MH,2020-01-17,6,2
17,MH,2020-01-18,6,2
18,MH,2020-01-19,6,2
19,MH,2020-01-20,6,2
20,MH,2020-01-21,6,2
21,MH,2020-01-22,6,3
22,MH,2020-01-23,5,3
23,MH,2020-01-24,5,3
24,MH,2020-01-25,5,3
25,MH,2020-01-26,5,3
26,MH,2020-01-27,5,3
27,MH,2020-01-28,5,3
28,MH,2020-01-29,5,4
29,MH,2020-01-30,5,4
30,MH,2020-01-31,5,4
31,MH,2020-02-01,4,4
32,MH,2020-02-02,4,4
33,MH,2020-02-03,5,4
34,MH,2020-02-04,5,4
35,MH,2020-02-05,5,5
36,MH,2020-02-06,5,5
37,MH,2020-02-07,6,5
38,MH,2020-02-08,8,5
39,MH,2020-02-09,8,5
40,MH,2020-02-10,7,5
41,MH,2020-02-11,7,5
42,MH,2020-02-12,7,6
43,MH,2020-02-13,8,6
44,MH,2020-02-14,7,6
45,MH,2020-02-15,6,6
46,MH,2020-02-16,6,6
47,MH,2020-02-17,6,6
48,MH,2020-02-18,6,6
49,MH,2020-02-19,6,7
50,MH,2020-02-20,6,7
51,MH,2020-02-21,6,7
52,MH,2020-02-22,5,7
53,MH,2020-02-23,5,7
54,MH,2020-02-24,5,7
55,MH,2020-02-25,5,7
56,MH,2020-02-26,5,8
57,MH,2020-02-27,5,8
58,MH,2020-02-28,6,8
59,MH,2020-02-29,7,8
60,MH,2020-03-01,7,8
61,MH,2020-03-02,7,8
62,MH,2020-03-03,7,8
63,MH,2020-03-04,7,9
64,MH,2020-03-05,7,9
65,MH,2020-03-06,6,9
66,MH,2020-03-07,6,9
67,MH,2020-03-08,6,9
68,MH,2020-03-09,6,9
69,MH,2020-03-10,6,9
70,MH,2020-03-11,7,10
71,MH,2020-03-12,7,10
72,MH,2020-03-13,7,10
73,MH,2020-03-14,6,10
74,MH,2020-03-15,6,10
75,MH,2020-03-16,6,10
76,MH,2020-03-17,6,10
77,MH,2020-03-18,5,11
78,MH,2020-03-19,4,11
79,MH,2020-03-20,3,11
80,MH,2020-03-21,3,11
81,MH,2020-03-22,2,11
82,MH,2020-03-23,1,11
83,MH,2020-03-24,1,11
84,MH,2020-04-04,1,13
85,MH,2020-04-05,1,13
86,MH,2020-04-06,1,13
87,MH,2020-04-07,1,13
88,MH,2020-04-08,1,14
89,MH,2020-04-09,1,14
90,MH,2020-04-10,1,14
91,MH,2020-04-13,1,14
92,MH,2020-04-14,1,14
93,MH,2020-04-15,1,15
94,MH,2020-04-16,1,15
95,MH,2020-04-17,1,15
96,MH,2020-04-18,1,15
97,MH,2020-04-19,1,15
98,MH,2020-05-20,1,20
99,MH,2020-05-21,2,20
100,MH,2020-05-22,2,20
101,MH,2020-05-23,2,20
102,MH,2020-05-24,2,20
103,MH,2020-05-25,2,20
104,MH,2020-05-26,2,20
105,MH,2020-05-27,1,21
106,MH,2020-06-17,1,24
107,MH,2020-06-18,1,24
108,MH,2020-06-19,1,24
109,MH,2020-06-20,1,24
110,MH,2020-06-21,1,24
111,MH,2020-06-22,1,24
112,MH,2020-06-23,1,24
113,MH,2020-07-23,2,29
114,MH,2020-07-24,2,29
115,MH,2020-07-25,2,29
116,MH,2020-07-26,2,29
117,MH,2020-07-27,2,29
118,MH,2020-07-28,2,29
119,MH,2020-07-29,2,30
120,MH,2020-08-25,1,33
121,MH,2020-08-26,1,34
122,MH,2020-08-27,1,34
123,MH,2020-08-28,1,34
124,MH,2020-08-29,1,34
125,MH,2020-08-30,1,34
126,MH,2020-08-31,1,34
127,MH,2020-09-18,1,37
128,MH,2020-09-19,1,37
129,MH,2020-09-20,1,37
130,MH,2020-09-21,1,37
131,MH,2020-09-22,1,37
132,MH,2020-09-23,1,38
133,MH,2020-09-24,1,38
134,MH,2020-10-16,1,41
135,MH,2020-10-17,1,41
136,MH,2020-10-18,1,41
137,MH,2020-10-19,1,41
138,MH,2020-10-20,1,41
139,MH,2020-10-21,1,42
140,MH,2020-10-22,1,42
141,MH,2020-10-30,2,43
142,MH,2020-10-31,2,43
143,MH,2020-11-01,2,43
144,MH,2020-11-02,2,43
145,MH,2020-11-03,2,43
146,MH,2020-11-04,2,44
147,MH,2020-11-05,2,44
148,MH,2020-11-13,3,45
149,MH,2020-11-14,3,45
150,MH,2020-11-15,3,45
151,MH,2020-11-16,3,45
152,MH,2020-11-17,3,45
153,MH,2020-11-18,3,46
154,MH,2020-11-19,4,46
155,MH,2020-11-20,1,46
156,MH,2020-11-21,1,46
157,MH,2020-11-22,1,46
158,MH,2020-11-23,1,46
159,MH,2020-11-24,1,46
160,MH,2020-11-25,1,47
161,MH,2020-11-26,1,47
162,MH,2020-11-27,2,47
163,MH,2020-11-28,2,47
164,MH,2020-11-29,2,47
165,MH,2020-11-30,2,47
166,MH,2020-12-01,2,47
167,MH,2020-12-02,2,48
168,MH,2020-12-03,1,48
169,MH,2020-12-11,2,49
170,MH,2020-12-12,2,49
171,MH,2020-12-13,3,49
172,MH,2020-12-14,3,49
173,MH,2020-12-15,3,49
174,MH,2020-12-16,3,50
175,MH,2020-12-17,3,50
176,MH,2020-12-18,1,50
177,MH,2020-12-19,1,50
178,MH,2020-12-28,1,51
179,MH,2020-12-29,1,51
180,MH,2020-12-30,1,52
181,MH,2020-12-31,1,52
182,MH,2021-01-01,1,52
183,MH,2021-01-02,1,52
184,MH,2021-01-03,1,52
185,MH,2021-01-08,1,53
186,MH,2021-01-09,1,53
187,MH,2021-01-10,1,53
188,MH,2021-01-11,2,53
189,MH,2021-01-12,2,53
190,MH,2021-01-13,2,54
191,MH,2021-01-14,2,54
192,MH,2021-01-15,2,54
193,MH,2021-01-16,2,54
194,MH,2021-01-17,2,54
195,MH,2021-01-18,1,54
196,MH,2021-01-19,1,54
197,MH,2021-01-20,1,55
198,MH,2021-01-21,1,55
199,MH,2021-02-10,1,58
200,MH,2021-02-11,1,58
201,MH,2021-02-12,2,58
202,MH,2021-02-13,2,58
203,MH,2021-02-14,2,58
204,MH,2021-02-15,2,58
