,destination_iso_country,date,flights_number_7days,week
0,NR,2020-01-01,3,0
1,NR,2020-01-02,2,0
2,NR,2020-01-03,1,0
3,NR,2020-01-04,1,0
4,NR,2020-01-09,1,1
5,NR,2020-01-10,3,1
6,NR,2020-01-11,3,1
7,NR,2020-01-12,3,1
8,NR,2020-01-13,3,1
9,NR,2020-01-14,3,1
10,NR,2020-01-15,4,2
11,NR,2020-01-16,4,2
12,NR,2020-01-17,2,2
13,NR,2020-01-18,4,2
14,NR,2020-01-19,5,2
15,NR,2020-01-20,5,2
16,NR,2020-01-21,7,2
17,NR,2020-01-22,6,3
18,NR,2020-01-23,5,3
19,NR,2020-01-24,7,3
20,NR,2020-01-25,5,3
21,NR,2020-01-26,5,3
22,NR,2020-01-27,5,3
23,NR,2020-01-28,3,3
24,NR,2020-01-29,3,4
25,NR,2020-01-30,4,4
26,NR,2020-01-31,3,4
27,NR,2020-02-01,3,4
28,NR,2020-02-02,3,4
29,NR,2020-02-03,4,4
30,NR,2020-02-04,5,4
31,NR,2020-02-05,5,5
32,NR,2020-02-06,5,5
33,NR,2020-02-07,5,5
34,NR,2020-02-08,7,5
35,NR,2020-02-09,6,5
36,NR,2020-02-10,5,5
37,NR,2020-02-11,4,5
38,NR,2020-02-12,4,6
39,NR,2020-02-13,4,6
40,NR,2020-02-14,6,6
41,NR,2020-02-15,5,6
42,NR,2020-02-16,5,6
43,NR,2020-02-17,5,6
44,NR,2020-02-18,6,6
45,NR,2020-02-19,6,7
46,NR,2020-02-20,7,7
47,NR,2020-02-21,6,7
48,NR,2020-02-22,5,7
49,NR,2020-02-23,5,7
50,NR,2020-02-24,6,7
51,NR,2020-02-25,6,7
52,NR,2020-02-26,7,8
53,NR,2020-02-27,6,8
54,NR,2020-02-28,5,8
55,NR,2020-02-29,6,8
56,NR,2020-03-01,6,8
57,NR,2020-03-02,5,8
58,NR,2020-03-03,4,8
59,NR,2020-03-04,3,9
60,NR,2020-03-05,3,9
61,NR,2020-03-06,3,9
62,NR,2020-03-07,2,9
63,NR,2020-03-08,2,9
64,NR,2020-03-09,2,9
65,NR,2020-03-10,2,9
66,NR,2020-03-11,2,10
67,NR,2020-03-12,2,10
68,NR,2020-03-13,1,10
69,NR,2020-03-14,2,10
70,NR,2020-03-15,2,10
71,NR,2020-03-16,2,10
72,NR,2020-03-17,2,10
73,NR,2020-03-18,2,11
74,NR,2020-03-19,1,11
75,NR,2020-03-20,1,11
76,NR,2020-03-21,1,11
77,NR,2020-03-22,1,11
78,NR,2020-03-23,1,11
79,NR,2020-03-24,1,11
80,NR,2020-03-25,1,12
81,NR,2020-03-26,1,12
82,NR,2020-03-27,1,12
83,NR,2020-04-03,1,13
84,NR,2020-04-04,1,13
85,NR,2020-04-05,1,13
86,NR,2020-04-06,1,13
87,NR,2020-04-07,1,13
88,NR,2020-04-08,1,14
89,NR,2020-04-09,2,14
90,NR,2020-04-10,1,14
91,NR,2020-04-11,1,14
92,NR,2020-04-12,1,14
93,NR,2020-04-13,1,14
94,NR,2020-04-14,1,14
95,NR,2020-04-15,1,15
96,NR,2020-04-17,1,15
97,NR,2020-04-18,1,15
98,NR,2020-04-19,1,15
99,NR,2020-04-20,1,15
100,NR,2020-04-21,1,15
101,NR,2020-04-22,1,16
102,NR,2020-04-23,1,16
103,NR,2020-05-01,1,17
104,NR,2020-05-02,1,17
105,NR,2020-05-03,1,17
106,NR,2020-05-04,1,17
107,NR,2020-05-05,1,17
108,NR,2020-05-06,1,18
109,NR,2020-05-07,1,18
110,NR,2020-05-15,1,19
111,NR,2020-05-16,1,19
112,NR,2020-05-17,1,19
113,NR,2020-05-18,1,19
114,NR,2020-05-19,1,19
115,NR,2020-05-20,1,20
116,NR,2020-05-21,1,20
117,NR,2020-05-29,1,21
118,NR,2020-05-30,1,21
119,NR,2020-05-31,1,21
120,NR,2020-06-01,1,21
121,NR,2020-06-02,2,21
122,NR,2020-06-03,2,22
123,NR,2020-06-04,2,22
124,NR,2020-06-05,2,22
125,NR,2020-06-06,2,22
126,NR,2020-06-07,2,22
127,NR,2020-06-08,2,22
128,NR,2020-06-09,1,22
129,NR,2020-06-10,2,23
130,NR,2020-06-11,2,23
131,NR,2020-06-12,1,23
132,NR,2020-06-13,1,23
133,NR,2020-06-14,1,23
134,NR,2020-06-15,1,23
135,NR,2020-06-16,1,23
136,NR,2020-07-10,1,27
137,NR,2020-07-11,1,27
138,NR,2020-07-12,1,27
139,NR,2020-07-13,1,27
140,NR,2020-07-14,1,27
141,NR,2020-07-15,1,28
142,NR,2020-07-16,1,28
143,NR,2020-07-24,1,29
144,NR,2020-07-25,1,29
145,NR,2020-07-26,1,29
146,NR,2020-07-27,1,29
147,NR,2020-07-28,1,29
148,NR,2020-07-29,2,30
149,NR,2020-07-30,2,30
150,NR,2020-07-31,1,30
151,NR,2020-08-01,1,30
152,NR,2020-08-02,1,30
153,NR,2020-08-03,1,30
154,NR,2020-08-04,1,30
155,NR,2020-08-07,2,31
156,NR,2020-08-08,2,31
157,NR,2020-08-09,2,31
158,NR,2020-08-10,2,31
159,NR,2020-08-11,2,31
160,NR,2020-08-12,2,32
161,NR,2020-08-13,2,32
162,NR,2020-08-21,2,33
163,NR,2020-08-22,2,33
164,NR,2020-08-23,2,33
165,NR,2020-08-24,3,33
166,NR,2020-08-25,3,33
167,NR,2020-08-26,3,34
168,NR,2020-08-27,3,34
169,NR,2020-08-28,1,34
170,NR,2020-08-29,1,34
171,NR,2020-08-30,1,34
172,NR,2020-09-02,1,35
173,NR,2020-09-03,1,35
174,NR,2020-09-04,3,35
175,NR,2020-09-05,3,35
176,NR,2020-09-06,3,35
177,NR,2020-09-07,3,35
178,NR,2020-09-08,3,35
179,NR,2020-09-09,2,36
180,NR,2020-09-10,2,36
181,NR,2020-09-16,1,37
182,NR,2020-09-17,1,37
183,NR,2020-09-18,2,37
184,NR,2020-09-19,3,37
185,NR,2020-09-20,3,37
186,NR,2020-09-21,3,37
187,NR,2020-09-22,3,37
188,NR,2020-09-23,2,38
189,NR,2020-09-24,3,38
190,NR,2020-09-25,2,38
191,NR,2020-09-26,1,38
192,NR,2020-09-27,1,38
193,NR,2020-09-28,2,38
194,NR,2020-09-29,2,38
195,NR,2020-09-30,2,39
196,NR,2020-10-01,1,39
197,NR,2020-10-02,1,39
198,NR,2020-10-03,1,39
199,NR,2020-10-04,1,39
200,NR,2020-10-14,1,41
201,NR,2020-10-15,1,41
202,NR,2020-10-16,3,41
203,NR,2020-10-17,3,41
204,NR,2020-10-18,3,41
205,NR,2020-10-19,3,41
206,NR,2020-10-20,3,41
207,NR,2020-10-21,2,42
208,NR,2020-10-22,2,42
209,NR,2020-10-30,2,43
210,NR,2020-10-31,2,43
211,NR,2020-11-01,2,43
212,NR,2020-11-02,2,43
213,NR,2020-11-03,2,43
214,NR,2020-11-04,2,44
215,NR,2020-11-05,2,44
216,NR,2020-11-13,1,45
217,NR,2020-11-14,1,45
218,NR,2020-11-15,1,45
219,NR,2020-11-16,1,45
220,NR,2020-11-17,1,45
221,NR,2020-11-18,1,46
222,NR,2020-11-19,1,46
223,NR,2020-11-27,1,47
224,NR,2020-11-28,1,47
225,NR,2020-11-29,1,47
226,NR,2020-11-30,1,47
227,NR,2020-12-08,1,48
228,NR,2020-12-09,2,49
