,destination_iso_country,date,flights_number_7days,week
0,PG,2020-01-01,423,0
1,PG,2020-01-02,413,0
2,PG,2020-01-03,407,0
3,PG,2020-01-04,402,0
4,PG,2020-01-05,397,0
5,PG,2020-01-06,386,0
6,PG,2020-01-07,389,0
7,PG,2020-01-08,396,1
8,PG,2020-01-09,404,1
9,PG,2020-01-10,406,1
10,PG,2020-01-11,404,1
11,PG,2020-01-12,405,1
12,PG,2020-01-13,414,1
13,PG,2020-01-14,412,1
14,PG,2020-01-15,414,2
15,PG,2020-01-16,423,2
16,PG,2020-01-17,430,2
17,PG,2020-01-18,430,2
18,PG,2020-01-19,436,2
19,PG,2020-01-20,437,2
20,PG,2020-01-21,456,2
21,PG,2020-01-22,447,3
22,PG,2020-01-23,463,3
23,PG,2020-01-24,469,3
24,PG,2020-01-25,485,3
25,PG,2020-01-26,484,3
26,PG,2020-01-27,484,3
27,PG,2020-01-28,462,3
28,PG,2020-01-29,463,4
29,PG,2020-01-30,448,4
30,PG,2020-01-31,435,4
31,PG,2020-02-01,418,4
32,PG,2020-02-02,416,4
33,PG,2020-02-03,405,4
34,PG,2020-02-04,414,4
35,PG,2020-02-05,431,5
36,PG,2020-02-06,442,5
37,PG,2020-02-07,437,5
38,PG,2020-02-08,450,5
39,PG,2020-02-09,460,5
40,PG,2020-02-10,471,5
41,PG,2020-02-11,468,5
42,PG,2020-02-12,464,6
43,PG,2020-02-13,459,6
44,PG,2020-02-14,476,6
45,PG,2020-02-15,469,6
46,PG,2020-02-16,465,6
47,PG,2020-02-17,468,6
48,PG,2020-02-18,468,6
49,PG,2020-02-19,466,7
50,PG,2020-02-20,470,7
51,PG,2020-02-21,460,7
52,PG,2020-02-22,472,7
53,PG,2020-02-23,463,7
54,PG,2020-02-24,451,7
55,PG,2020-02-25,442,7
56,PG,2020-02-26,442,8
57,PG,2020-02-27,444,8
58,PG,2020-02-28,438,8
59,PG,2020-02-29,428,8
60,PG,2020-03-01,437,8
61,PG,2020-03-02,450,8
62,PG,2020-03-03,471,8
63,PG,2020-03-04,472,9
64,PG,2020-03-05,467,9
65,PG,2020-03-06,485,9
66,PG,2020-03-07,483,9
67,PG,2020-03-08,486,9
68,PG,2020-03-09,491,9
69,PG,2020-03-10,497,9
70,PG,2020-03-11,505,10
71,PG,2020-03-12,511,10
72,PG,2020-03-13,501,10
73,PG,2020-03-14,505,10
74,PG,2020-03-15,509,10
75,PG,2020-03-16,511,10
76,PG,2020-03-17,510,10
77,PG,2020-03-18,519,11
78,PG,2020-03-19,522,11
79,PG,2020-03-20,530,11
80,PG,2020-03-21,524,11
81,PG,2020-03-22,512,11
82,PG,2020-03-23,494,11
83,PG,2020-03-24,441,11
84,PG,2020-03-25,371,12
85,PG,2020-03-26,293,12
86,PG,2020-03-27,225,12
87,PG,2020-03-28,173,12
88,PG,2020-03-29,128,12
89,PG,2020-03-30,74,12
90,PG,2020-03-31,60,12
91,PG,2020-04-01,57,13
92,PG,2020-04-02,63,13
93,PG,2020-04-03,68,13
94,PG,2020-04-04,65,13
95,PG,2020-04-05,60,13
96,PG,2020-04-06,55,13
97,PG,2020-04-07,48,13
98,PG,2020-04-08,40,14
99,PG,2020-04-09,33,14
100,PG,2020-04-10,24,14
101,PG,2020-04-11,21,14
102,PG,2020-04-12,13,14
103,PG,2020-04-13,11,14
104,PG,2020-04-14,13,14
105,PG,2020-04-15,12,15
106,PG,2020-04-16,12,15
107,PG,2020-04-17,13,15
108,PG,2020-04-18,13,15
109,PG,2020-04-19,14,15
110,PG,2020-04-20,19,15
111,PG,2020-04-21,34,15
112,PG,2020-04-22,48,16
113,PG,2020-04-23,80,16
114,PG,2020-04-24,107,16
115,PG,2020-04-25,138,16
116,PG,2020-04-26,171,16
117,PG,2020-04-27,204,16
118,PG,2020-04-28,221,16
119,PG,2020-04-29,237,17
120,PG,2020-04-30,252,17
121,PG,2020-05-01,252,17
122,PG,2020-05-02,244,17
123,PG,2020-05-03,247,17
124,PG,2020-05-04,243,17
125,PG,2020-05-05,240,17
126,PG,2020-05-06,246,18
127,PG,2020-05-07,233,18
128,PG,2020-05-08,238,18
129,PG,2020-05-09,250,18
130,PG,2020-05-10,249,18
131,PG,2020-05-11,259,18
132,PG,2020-05-12,266,18
133,PG,2020-05-13,266,19
134,PG,2020-05-14,271,19
135,PG,2020-05-15,278,19
136,PG,2020-05-16,272,19
137,PG,2020-05-17,274,19
138,PG,2020-05-18,282,19
139,PG,2020-05-19,292,19
140,PG,2020-05-20,301,20
141,PG,2020-05-21,306,20
142,PG,2020-05-22,307,20
143,PG,2020-05-23,326,20
144,PG,2020-05-24,330,20
145,PG,2020-05-25,322,20
146,PG,2020-05-26,314,20
147,PG,2020-05-27,311,21
148,PG,2020-05-28,309,21
149,PG,2020-05-29,314,21
150,PG,2020-05-30,311,21
151,PG,2020-05-31,313,21
152,PG,2020-06-01,310,21
153,PG,2020-06-02,317,21
154,PG,2020-06-03,325,22
155,PG,2020-06-04,338,22
156,PG,2020-06-05,339,22
157,PG,2020-06-06,338,22
158,PG,2020-06-07,339,22
159,PG,2020-06-08,342,22
160,PG,2020-06-09,335,22
161,PG,2020-06-10,321,23
162,PG,2020-06-11,311,23
163,PG,2020-06-12,314,23
164,PG,2020-06-13,313,23
165,PG,2020-06-14,317,23
166,PG,2020-06-15,321,23
167,PG,2020-06-16,329,23
168,PG,2020-06-17,356,24
169,PG,2020-06-18,362,24
170,PG,2020-06-19,367,24
171,PG,2020-06-20,374,24
172,PG,2020-06-21,362,24
173,PG,2020-06-22,350,24
174,PG,2020-06-23,341,24
175,PG,2020-06-24,327,25
176,PG,2020-06-25,333,25
177,PG,2020-06-26,330,25
178,PG,2020-06-27,328,25
179,PG,2020-06-28,342,25
180,PG,2020-06-29,354,25
181,PG,2020-06-30,366,25
182,PG,2020-07-01,364,26
183,PG,2020-07-02,360,26
184,PG,2020-07-03,369,26
185,PG,2020-07-04,376,26
186,PG,2020-07-05,397,26
187,PG,2020-07-06,407,26
188,PG,2020-07-07,398,26
189,PG,2020-07-08,393,27
190,PG,2020-07-09,392,27
191,PG,2020-07-10,387,27
192,PG,2020-07-11,387,27
193,PG,2020-07-12,370,27
194,PG,2020-07-13,361,27
195,PG,2020-07-14,372,27
196,PG,2020-07-15,390,28
197,PG,2020-07-16,393,28
198,PG,2020-07-17,396,28
199,PG,2020-07-18,394,28
200,PG,2020-07-19,400,28
201,PG,2020-07-20,417,28
202,PG,2020-07-21,433,28
203,PG,2020-07-22,438,29
204,PG,2020-07-23,452,29
205,PG,2020-07-24,448,29
206,PG,2020-07-25,456,29
207,PG,2020-07-26,442,29
208,PG,2020-07-27,444,29
209,PG,2020-07-28,436,29
210,PG,2020-07-29,425,30
211,PG,2020-07-30,409,30
212,PG,2020-07-31,413,30
213,PG,2020-08-01,393,30
214,PG,2020-08-02,408,30
215,PG,2020-08-03,401,30
216,PG,2020-08-04,401,30
217,PG,2020-08-05,406,31
218,PG,2020-08-06,415,31
219,PG,2020-08-07,417,31
220,PG,2020-08-08,438,31
