,destination_iso_country,date,flights_number_7days,week
0,PW,2020-01-01,27,0
1,PW,2020-01-02,29,0
2,PW,2020-01-03,29,0
3,PW,2020-01-04,29,0
4,PW,2020-01-05,29,0
5,PW,2020-01-06,27,0
6,PW,2020-01-07,27,0
7,PW,2020-01-08,25,1
8,PW,2020-01-09,24,1
9,PW,2020-01-10,24,1
10,PW,2020-01-11,23,1
11,PW,2020-01-12,22,1
12,PW,2020-01-13,23,1
13,PW,2020-01-14,23,1
14,PW,2020-01-15,23,2
15,PW,2020-01-16,22,2
16,PW,2020-01-17,22,2
17,PW,2020-01-18,22,2
18,PW,2020-01-19,22,2
19,PW,2020-01-20,21,2
20,PW,2020-01-21,21,2
21,PW,2020-01-22,21,3
22,PW,2020-01-23,21,3
23,PW,2020-01-24,21,3
24,PW,2020-01-25,21,3
25,PW,2020-01-26,21,3
26,PW,2020-01-27,21,3
27,PW,2020-01-28,21,3
28,PW,2020-01-29,21,4
29,PW,2020-01-30,21,4
30,PW,2020-01-31,21,4
31,PW,2020-02-01,21,4
32,PW,2020-02-02,21,4
33,PW,2020-02-03,21,4
34,PW,2020-02-04,20,4
35,PW,2020-02-05,20,5
36,PW,2020-02-06,19,5
37,PW,2020-02-07,19,5
38,PW,2020-02-08,18,5
39,PW,2020-02-09,18,5
40,PW,2020-02-10,18,5
41,PW,2020-02-11,18,5
42,PW,2020-02-12,18,6
43,PW,2020-02-13,18,6
44,PW,2020-02-14,18,6
45,PW,2020-02-15,18,6
46,PW,2020-02-16,18,6
47,PW,2020-02-17,18,6
48,PW,2020-02-18,19,6
49,PW,2020-02-19,19,7
50,PW,2020-02-20,19,7
51,PW,2020-02-21,20,7
52,PW,2020-02-22,20,7
53,PW,2020-02-23,20,7
54,PW,2020-02-24,20,7
55,PW,2020-02-25,20,7
56,PW,2020-02-26,20,8
57,PW,2020-02-27,20,8
58,PW,2020-02-28,20,8
59,PW,2020-02-29,20,8
60,PW,2020-03-01,20,8
61,PW,2020-03-02,20,8
62,PW,2020-03-03,20,8
63,PW,2020-03-04,20,9
64,PW,2020-03-05,20,9
65,PW,2020-03-06,20,9
66,PW,2020-03-07,19,9
67,PW,2020-03-08,19,9
68,PW,2020-03-09,19,9
69,PW,2020-03-10,19,9
70,PW,2020-03-11,19,10
71,PW,2020-03-12,20,10
72,PW,2020-03-13,19,10
73,PW,2020-03-14,19,10
74,PW,2020-03-15,18,10
75,PW,2020-03-16,20,10
76,PW,2020-03-17,19,10
77,PW,2020-03-18,18,11
78,PW,2020-03-19,16,11
79,PW,2020-03-20,17,11
80,PW,2020-03-21,17,11
81,PW,2020-03-22,16,11
82,PW,2020-03-23,13,11
83,PW,2020-03-24,12,11
84,PW,2020-03-25,10,12
85,PW,2020-03-26,9,12
86,PW,2020-03-27,5,12
87,PW,2020-03-28,5,12
88,PW,2020-03-29,4,12
89,PW,2020-03-30,3,12
90,PW,2020-03-31,2,12
91,PW,2020-04-01,2,13
92,PW,2020-04-02,1,13
93,PW,2020-04-03,1,13
94,PW,2020-05-21,1,20
95,PW,2020-05-22,1,20
96,PW,2020-05-23,2,20
97,PW,2020-05-24,2,20
98,PW,2020-05-25,2,20
99,PW,2020-05-26,2,20
100,PW,2020-05-27,2,21
101,PW,2020-05-28,1,21
102,PW,2020-05-29,1,21
103,PW,2020-06-11,1,23
104,PW,2020-06-12,1,23
105,PW,2020-06-13,1,23
106,PW,2020-06-14,1,23
107,PW,2020-06-15,1,23
108,PW,2020-06-16,1,23
109,PW,2020-06-17,1,24
110,PW,2020-07-30,1,30
111,PW,2020-07-31,1,30
112,PW,2020-08-01,1,30
113,PW,2020-08-02,1,30
114,PW,2020-08-03,1,30
115,PW,2020-08-04,1,30
116,PW,2020-08-05,1,31
117,PW,2020-08-06,1,31
118,PW,2020-08-07,1,31
119,PW,2020-08-08,1,31
120,PW,2020-08-09,1,31
121,PW,2020-08-10,1,31
122,PW,2020-08-11,1,31
123,PW,2020-08-12,1,32
124,PW,2020-08-21,1,33
125,PW,2020-08-22,1,33
126,PW,2020-08-23,1,33
127,PW,2020-08-24,1,33
128,PW,2020-08-25,1,33
129,PW,2020-08-26,1,34
130,PW,2020-08-27,1,34
131,PW,2020-09-03,1,35
132,PW,2020-09-04,1,35
133,PW,2020-09-05,1,35
134,PW,2020-09-06,1,35
135,PW,2020-09-07,1,35
136,PW,2020-09-08,1,35
137,PW,2020-09-09,1,36
138,PW,2020-09-17,1,37
139,PW,2020-09-18,1,37
140,PW,2020-09-19,1,37
141,PW,2020-09-20,1,37
142,PW,2020-09-21,1,37
143,PW,2020-09-22,1,37
144,PW,2020-09-23,1,38
145,PW,2020-10-08,1,40
146,PW,2020-10-09,1,40
147,PW,2020-10-10,1,40
148,PW,2020-10-11,1,40
149,PW,2020-10-12,1,40
150,PW,2020-10-13,1,40
151,PW,2020-10-14,1,41
152,PW,2020-11-01,1,43
153,PW,2020-11-02,1,43
154,PW,2020-11-03,1,43
155,PW,2020-11-04,1,44
156,PW,2020-11-05,1,44
157,PW,2020-11-06,1,44
158,PW,2020-11-07,1,44
159,PW,2020-11-12,1,45
160,PW,2020-11-13,1,45
161,PW,2020-11-14,1,45
162,PW,2020-11-15,1,45
163,PW,2020-11-16,1,45
164,PW,2020-11-17,1,45
165,PW,2020-11-18,1,46
166,PW,2020-12-13,2,49
167,PW,2020-12-14,2,49
168,PW,2020-12-15,2,49
169,PW,2020-12-16,2,50
170,PW,2020-12-17,2,50
171,PW,2020-12-18,2,50
172,PW,2020-12-19,2,50
173,PW,2021-01-06,1,53
174,PW,2021-01-07,1,53
175,PW,2021-01-08,2,53
176,PW,2021-01-09,2,53
177,PW,2021-01-10,2,53
178,PW,2021-01-11,2,53
179,PW,2021-01-12,2,53
180,PW,2021-01-13,1,54
181,PW,2021-01-14,2,54
182,PW,2021-01-15,1,54
183,PW,2021-01-16,1,54
184,PW,2021-01-17,2,54
185,PW,2021-01-18,2,54
186,PW,2021-01-19,2,54
187,PW,2021-01-20,3,55
188,PW,2021-01-21,2,55
189,PW,2021-01-22,2,55
190,PW,2021-01-23,2,55
191,PW,2021-01-24,1,55
192,PW,2021-01-25,1,55
193,PW,2021-01-26,1,55
194,PW,2021-02-16,1,58
195,PW,2021-02-17,1,59
196,PW,2021-02-18,1,59
197,PW,2021-02-19,1,59
198,PW,2021-02-20,1,59
199,PW,2021-02-21,1,59
200,PW,2021-02-22,1,59
201,PW,2021-02-27,1,60
202,PW,2021-02-28,1,60
203,PW,2021-03-01,1,60
204,PW,2021-03-02,1,60
205,PW,2021-03-03,1,61
206,PW,2021-03-04,1,61
207,PW,2021-03-05,1,61
208,PW,2021-03-07,1,61
209,PW,2021-03-08,1,61
210,PW,2021-03-09,1,61
211,PW,2021-03-10,1,62
212,PW,2021-03-11,2,62
213,PW,2021-03-12,2,62
214,PW,2021-03-13,2,62
215,PW,2021-03-14,1,62
216,PW,2021-03-15,1,62
217,PW,2021-03-16,1,62
218,PW,2021-03-17,1,63
219,PW,2021-03-21,1,63
