,destination_iso_country,date,flights_number_7days,week
0,SB,2020-01-01,17,0
1,SB,2020-01-02,17,0
2,SB,2020-01-03,17,0
3,SB,2020-01-04,18,0
4,SB,2020-01-05,18,0
5,SB,2020-01-06,18,0
6,SB,2020-01-07,19,0
7,SB,2020-01-08,19,1
8,SB,2020-01-09,19,1
9,SB,2020-01-10,19,1
10,SB,2020-01-11,19,1
11,SB,2020-01-12,19,1
12,SB,2020-01-13,19,1
13,SB,2020-01-14,19,1
14,SB,2020-01-15,19,2
15,SB,2020-01-16,19,2
16,SB,2020-01-17,19,2
17,SB,2020-01-18,20,2
18,SB,2020-01-19,20,2
19,SB,2020-01-20,20,2
20,SB,2020-01-21,20,2
21,SB,2020-01-22,21,3
22,SB,2020-01-23,22,3
23,SB,2020-01-24,22,3
24,SB,2020-01-25,20,3
25,SB,2020-01-26,21,3
26,SB,2020-01-27,21,3
27,SB,2020-01-28,21,3
28,SB,2020-01-29,21,4
29,SB,2020-01-30,21,4
30,SB,2020-01-31,20,4
31,SB,2020-02-01,20,4
32,SB,2020-02-02,19,4
33,SB,2020-02-03,20,4
34,SB,2020-02-04,20,4
35,SB,2020-02-05,19,5
36,SB,2020-02-06,19,5
37,SB,2020-02-07,20,5
38,SB,2020-02-08,20,5
39,SB,2020-02-09,19,5
40,SB,2020-02-10,18,5
41,SB,2020-02-11,19,5
42,SB,2020-02-12,19,6
43,SB,2020-02-13,19,6
44,SB,2020-02-14,19,6
45,SB,2020-02-15,17,6
46,SB,2020-02-16,18,6
47,SB,2020-02-17,18,6
48,SB,2020-02-18,17,6
49,SB,2020-02-19,16,7
50,SB,2020-02-20,14,7
51,SB,2020-02-21,13,7
52,SB,2020-02-22,16,7
53,SB,2020-02-23,16,7
54,SB,2020-02-24,16,7
55,SB,2020-02-25,16,7
56,SB,2020-02-26,17,8
57,SB,2020-02-27,18,8
58,SB,2020-02-28,19,8
59,SB,2020-02-29,19,8
60,SB,2020-03-01,19,8
61,SB,2020-03-02,20,8
62,SB,2020-03-03,19,8
63,SB,2020-03-04,20,9
64,SB,2020-03-05,20,9
65,SB,2020-03-06,19,9
66,SB,2020-03-07,18,9
67,SB,2020-03-08,18,9
68,SB,2020-03-09,18,9
69,SB,2020-03-10,19,9
70,SB,2020-03-11,17,10
71,SB,2020-03-12,18,10
72,SB,2020-03-13,18,10
73,SB,2020-03-14,17,10
74,SB,2020-03-15,18,10
75,SB,2020-03-16,17,10
76,SB,2020-03-17,17,10
77,SB,2020-03-18,18,11
78,SB,2020-03-19,17,11
79,SB,2020-03-20,18,11
80,SB,2020-03-21,18,11
81,SB,2020-03-22,16,11
82,SB,2020-03-23,16,11
83,SB,2020-03-24,12,11
84,SB,2020-03-25,10,12
85,SB,2020-03-26,8,12
86,SB,2020-03-27,6,12
87,SB,2020-03-28,4,12
88,SB,2020-03-29,3,12
89,SB,2020-03-30,2,12
90,SB,2020-03-31,2,12
91,SB,2020-04-01,1,13
92,SB,2020-04-02,1,13
93,SB,2020-04-05,1,13
94,SB,2020-04-06,1,13
95,SB,2020-04-07,1,13
96,SB,2020-04-08,1,14
97,SB,2020-04-09,1,14
98,SB,2020-04-10,1,14
99,SB,2020-04-11,1,14
100,SB,2020-04-22,1,16
101,SB,2020-04-23,2,16
102,SB,2020-04-24,2,16
103,SB,2020-04-25,2,16
104,SB,2020-04-26,2,16
105,SB,2020-04-27,2,16
106,SB,2020-04-28,2,16
107,SB,2020-04-29,2,17
108,SB,2020-04-30,1,17
109,SB,2020-05-01,1,17
110,SB,2020-05-02,1,17
111,SB,2020-05-03,1,17
112,SB,2020-05-04,1,17
113,SB,2020-05-05,1,17
114,SB,2020-05-07,1,18
115,SB,2020-05-08,1,18
116,SB,2020-05-09,1,18
117,SB,2020-05-10,1,18
118,SB,2020-05-11,1,18
119,SB,2020-05-12,1,18
120,SB,2020-05-13,2,19
121,SB,2020-05-14,1,19
122,SB,2020-05-15,1,19
123,SB,2020-05-16,1,19
124,SB,2020-05-17,1,19
125,SB,2020-05-18,1,19
126,SB,2020-05-19,1,19
127,SB,2020-05-22,1,20
128,SB,2020-05-23,1,20
129,SB,2020-05-24,1,20
130,SB,2020-05-25,1,20
131,SB,2020-05-26,2,20
132,SB,2020-05-27,3,21
133,SB,2020-05-28,3,21
134,SB,2020-05-29,2,21
135,SB,2020-05-30,2,21
136,SB,2020-05-31,2,21
137,SB,2020-06-01,2,21
138,SB,2020-06-02,1,21
139,SB,2020-06-04,2,22
140,SB,2020-06-05,2,22
141,SB,2020-06-06,2,22
142,SB,2020-06-07,2,22
143,SB,2020-06-08,2,22
144,SB,2020-06-09,2,22
145,SB,2020-06-10,2,23
146,SB,2020-06-12,2,23
147,SB,2020-06-13,2,23
148,SB,2020-06-14,2,23
149,SB,2020-06-15,2,23
150,SB,2020-06-16,2,23
151,SB,2020-06-17,2,24
152,SB,2020-06-18,2,24
153,SB,2020-06-19,1,24
154,SB,2020-06-20,1,24
155,SB,2020-06-21,1,24
156,SB,2020-06-22,1,24
157,SB,2020-06-23,1,24
158,SB,2020-06-24,1,25
159,SB,2020-06-25,1,25
160,SB,2020-06-26,2,25
161,SB,2020-06-27,2,25
162,SB,2020-06-28,2,25
163,SB,2020-06-29,2,25
164,SB,2020-06-30,3,25
165,SB,2020-07-01,4,26
166,SB,2020-07-02,4,26
167,SB,2020-07-03,3,26
168,SB,2020-07-04,3,26
169,SB,2020-07-05,3,26
170,SB,2020-07-06,3,26
171,SB,2020-07-07,2,26
172,SB,2020-07-08,2,27
173,SB,2020-07-09,2,27
174,SB,2020-07-10,2,27
175,SB,2020-07-11,2,27
176,SB,2020-07-12,2,27
177,SB,2020-07-13,2,27
178,SB,2020-07-14,2,27
179,SB,2020-07-15,1,28
180,SB,2020-07-16,1,28
181,SB,2020-07-17,1,28
182,SB,2020-07-18,1,28
