,destination_iso_country,date,flights_number_7days,week
0,TO,2020-01-01,41,0
1,TO,2020-01-02,44,0
2,TO,2020-01-03,47,0
3,TO,2020-01-04,45,0
4,TO,2020-01-05,51,0
5,TO,2020-01-06,58,0
6,TO,2020-01-07,58,0
7,TO,2020-01-08,52,1
8,TO,2020-01-09,49,1
9,TO,2020-01-10,47,1
10,TO,2020-01-11,47,1
11,TO,2020-01-12,47,1
12,TO,2020-01-13,45,1
13,TO,2020-01-14,48,1
14,TO,2020-01-15,50,2
15,TO,2020-01-16,52,2
16,TO,2020-01-17,45,2
17,TO,2020-01-18,41,2
18,TO,2020-01-19,40,2
19,TO,2020-01-20,40,2
20,TO,2020-01-21,40,2
21,TO,2020-01-22,42,3
22,TO,2020-01-23,43,3
23,TO,2020-01-24,49,3
24,TO,2020-01-25,53,3
25,TO,2020-01-26,50,3
26,TO,2020-01-27,51,3
27,TO,2020-01-28,51,3
28,TO,2020-01-29,49,4
29,TO,2020-01-30,47,4
30,TO,2020-01-31,44,4
31,TO,2020-02-01,44,4
32,TO,2020-02-02,42,4
33,TO,2020-02-03,36,4
34,TO,2020-02-04,29,4
35,TO,2020-02-05,25,5
36,TO,2020-02-06,21,5
37,TO,2020-02-07,16,5
38,TO,2020-02-08,14,5
39,TO,2020-02-09,14,5
40,TO,2020-02-10,14,5
41,TO,2020-02-11,14,5
42,TO,2020-02-12,14,6
43,TO,2020-02-13,14,6
44,TO,2020-02-14,14,6
45,TO,2020-02-15,13,6
46,TO,2020-02-16,12,6
47,TO,2020-02-17,12,6
48,TO,2020-02-18,12,6
49,TO,2020-02-19,12,7
50,TO,2020-02-20,11,7
51,TO,2020-02-21,12,7
52,TO,2020-02-22,12,7
53,TO,2020-02-23,12,7
54,TO,2020-02-24,12,7
55,TO,2020-02-25,13,7
56,TO,2020-02-26,13,8
57,TO,2020-02-27,14,8
58,TO,2020-02-28,13,8
59,TO,2020-02-29,13,8
60,TO,2020-03-01,14,8
61,TO,2020-03-02,14,8
62,TO,2020-03-03,11,8
63,TO,2020-03-04,11,9
64,TO,2020-03-05,12,9
65,TO,2020-03-06,12,9
66,TO,2020-03-07,13,9
67,TO,2020-03-08,13,9
68,TO,2020-03-09,13,9
69,TO,2020-03-10,13,9
70,TO,2020-03-11,13,10
71,TO,2020-03-12,12,10
72,TO,2020-03-13,12,10
73,TO,2020-03-14,12,10
74,TO,2020-03-15,12,10
75,TO,2020-03-16,12,10
76,TO,2020-03-17,12,10
77,TO,2020-03-18,12,11
78,TO,2020-03-19,13,11
79,TO,2020-03-20,13,11
80,TO,2020-03-21,13,11
81,TO,2020-03-22,11,11
82,TO,2020-03-23,10,11
83,TO,2020-03-24,9,11
84,TO,2020-03-25,8,12
85,TO,2020-03-26,3,12
86,TO,2020-03-27,3,12
87,TO,2020-03-28,1,12
88,TO,2020-03-29,1,12
89,TO,2020-03-30,1,12
90,TO,2020-04-02,1,13
91,TO,2020-04-03,2,13
92,TO,2020-04-04,2,13
93,TO,2020-04-05,2,13
94,TO,2020-04-06,2,13
95,TO,2020-04-07,2,13
96,TO,2020-04-08,2,14
97,TO,2020-04-09,1,14
98,TO,2020-04-15,1,15
99,TO,2020-04-16,1,15
100,TO,2020-04-17,1,15
101,TO,2020-04-18,1,15
102,TO,2020-04-19,1,15
103,TO,2020-04-20,1,15
104,TO,2020-04-21,1,15
105,TO,2020-04-23,1,16
106,TO,2020-04-24,1,16
107,TO,2020-04-25,1,16
108,TO,2020-04-26,1,16
109,TO,2020-04-27,1,16
110,TO,2020-04-28,1,16
111,TO,2020-04-29,1,17
112,TO,2020-04-30,1,17
113,TO,2020-05-01,1,17
114,TO,2020-05-02,1,17
115,TO,2020-05-03,1,17
116,TO,2020-05-04,1,17
117,TO,2020-05-05,1,17
118,TO,2020-05-06,1,18
119,TO,2020-05-07,1,18
120,TO,2020-05-08,1,18
121,TO,2020-05-09,1,18
122,TO,2020-05-10,1,18
123,TO,2020-05-11,1,18
124,TO,2020-05-12,1,18
125,TO,2020-05-13,2,19
126,TO,2020-05-14,1,19
127,TO,2020-05-15,1,19
128,TO,2020-05-16,1,19
