,destination_iso_country,date,flights_number_7days,week
0,TV,2020-01-01,2,0
1,TV,2020-01-02,2,0
2,TV,2020-01-03,3,0
3,TV,2020-01-04,3,0
4,TV,2020-01-05,3,0
5,TV,2020-01-06,3,0
6,TV,2020-01-07,3,0
7,TV,2020-01-08,2,1
8,TV,2020-01-09,2,1
9,TV,2020-01-10,2,1
10,TV,2020-01-11,2,1
11,TV,2020-01-12,2,1
12,TV,2020-01-13,1,1
13,TV,2020-01-14,1,1
14,TV,2020-01-15,1,2
15,TV,2020-01-16,1,2
16,TV,2020-01-18,1,2
17,TV,2020-01-19,1,2
18,TV,2020-01-20,2,2
19,TV,2020-01-21,2,2
20,TV,2020-01-22,3,3
21,TV,2020-01-23,3,3
22,TV,2020-01-24,4,3
23,TV,2020-01-25,3,3
24,TV,2020-01-26,3,3
25,TV,2020-01-27,3,3
26,TV,2020-01-28,3,3
27,TV,2020-01-29,3,4
28,TV,2020-01-30,3,4
29,TV,2020-01-31,3,4
30,TV,2020-02-01,3,4
31,TV,2020-02-02,3,4
32,TV,2020-02-03,3,4
33,TV,2020-02-04,3,4
34,TV,2020-02-05,3,5
35,TV,2020-02-06,3,5
36,TV,2020-02-07,3,5
37,TV,2020-02-08,3,5
38,TV,2020-02-09,3,5
39,TV,2020-02-10,3,5
40,TV,2020-02-11,3,5
41,TV,2020-02-12,3,6
42,TV,2020-02-13,3,6
43,TV,2020-02-14,3,6
44,TV,2020-02-15,3,6
45,TV,2020-02-16,3,6
46,TV,2020-02-17,2,6
47,TV,2020-02-18,2,6
48,TV,2020-02-19,1,7
49,TV,2020-02-20,1,7
50,TV,2020-02-21,1,7
51,TV,2020-02-22,2,7
52,TV,2020-02-23,2,7
53,TV,2020-02-24,3,7
54,TV,2020-02-25,3,7
55,TV,2020-02-26,4,8
56,TV,2020-02-27,4,8
57,TV,2020-02-28,4,8
58,TV,2020-02-29,3,8
59,TV,2020-03-01,3,8
60,TV,2020-03-02,3,8
61,TV,2020-03-03,3,8
62,TV,2020-03-04,3,9
63,TV,2020-03-05,3,9
64,TV,2020-03-06,3,9
65,TV,2020-03-07,3,9
66,TV,2020-03-08,3,9
67,TV,2020-03-09,3,9
68,TV,2020-03-10,3,9
69,TV,2020-03-11,3,10
70,TV,2020-03-12,3,10
71,TV,2020-03-13,3,10
72,TV,2020-03-14,3,10
73,TV,2020-03-15,3,10
74,TV,2020-03-16,3,10
75,TV,2020-03-17,3,10
76,TV,2020-03-18,3,11
77,TV,2020-03-19,4,11
78,TV,2020-03-20,3,11
79,TV,2020-03-21,3,11
80,TV,2020-03-22,3,11
81,TV,2020-03-23,2,11
82,TV,2020-03-24,2,11
83,TV,2020-03-25,1,12
84,TV,2020-10-14,1,41
85,TV,2020-10-15,1,41
86,TV,2020-10-16,1,41
87,TV,2020-10-17,1,41
88,TV,2020-11-18,1,46
89,TV,2020-11-19,1,46
90,TV,2020-11-20,1,46
91,TV,2020-11-21,1,46
92,TV,2020-11-22,1,46
93,TV,2020-11-23,1,46
94,TV,2020-11-24,1,46
95,TV,2020-11-26,1,47
96,TV,2020-11-27,1,47
97,TV,2020-11-28,1,47
98,TV,2020-11-29,1,47
99,TV,2020-11-30,1,47
100,TV,2020-12-01,1,47
101,TV,2020-12-02,1,48
102,TV,2020-12-31,1,52
103,TV,2021-01-01,1,52
104,TV,2021-01-02,1,52
105,TV,2021-01-03,1,52
106,TV,2021-01-04,1,52
107,TV,2021-01-05,1,52
108,TV,2021-01-06,1,53
109,TV,2021-01-15,1,54
110,TV,2021-01-16,1,54
111,TV,2021-01-17,2,54
112,TV,2021-01-18,2,54
113,TV,2021-01-19,2,54
114,TV,2021-01-20,2,55
115,TV,2021-01-21,2,55
116,TV,2021-01-22,1,55
117,TV,2021-01-23,1,55
118,TV,2021-03-17,1,63
119,TV,2021-03-18,1,63
120,TV,2021-03-19,1,63
121,TV,2021-03-20,1,63
122,TV,2021-03-21,1,63
123,TV,2021-03-22,1,63
124,TV,2021-03-23,1,63
125,TV,2021-11-26,1,99
126,TV,2021-11-27,1,99
127,TV,2021-11-28,1,99
128,TV,2021-11-29,1,99
129,TV,2021-11-30,1,99
130,TV,2021-12-01,1,100
131,TV,2021-12-02,1,100
132,TV,2021-12-09,1,101
133,TV,2021-12-10,2,101
134,TV,2021-12-11,2,101
135,TV,2021-12-12,2,101
136,TV,2021-12-13,2,101
137,TV,2021-12-14,2,101
138,TV,2021-12-15,2,102
139,TV,2021-12-16,1,102
140,TV,2022-03-25,1,116
141,TV,2022-03-26,1,116
142,TV,2022-03-27,1,116
143,TV,2022-03-28,1,116
