,destination_iso_country,date,flights_number_7days,week
0,VU,2020-01-01,72,0
1,VU,2020-01-02,71,0
2,VU,2020-01-03,71,0
3,VU,2020-01-04,73,0
4,VU,2020-01-05,73,0
5,VU,2020-01-06,74,0
6,VU,2020-01-07,78,0
7,VU,2020-01-08,79,1
8,VU,2020-01-09,76,1
9,VU,2020-01-10,79,1
10,VU,2020-01-11,81,1
11,VU,2020-01-12,82,1
12,VU,2020-01-13,84,1
13,VU,2020-01-14,79,1
14,VU,2020-01-15,76,2
15,VU,2020-01-16,75,2
16,VU,2020-01-17,68,2
17,VU,2020-01-18,58,2
18,VU,2020-01-19,56,2
19,VU,2020-01-20,53,2
20,VU,2020-01-21,54,2
21,VU,2020-01-22,56,3
22,VU,2020-01-23,60,3
23,VU,2020-01-24,65,3
24,VU,2020-01-25,72,3
25,VU,2020-01-26,72,3
26,VU,2020-01-27,69,3
27,VU,2020-01-28,66,3
28,VU,2020-01-29,67,4
29,VU,2020-01-30,67,4
30,VU,2020-01-31,70,4
31,VU,2020-02-01,66,4
32,VU,2020-02-02,65,4
33,VU,2020-02-03,66,4
34,VU,2020-02-04,70,4
35,VU,2020-02-05,68,5
36,VU,2020-02-06,62,5
37,VU,2020-02-07,59,5
38,VU,2020-02-08,60,5
39,VU,2020-02-09,62,5
40,VU,2020-02-10,66,5
41,VU,2020-02-11,65,5
42,VU,2020-02-12,66,6
43,VU,2020-02-13,68,6
44,VU,2020-02-14,69,6
45,VU,2020-02-15,72,6
46,VU,2020-02-16,71,6
47,VU,2020-02-17,67,6
48,VU,2020-02-18,67,6
49,VU,2020-02-19,68,7
50,VU,2020-02-20,68,7
51,VU,2020-02-21,67,7
52,VU,2020-02-22,67,7
53,VU,2020-02-23,67,7
54,VU,2020-02-24,66,7
55,VU,2020-02-25,65,7
56,VU,2020-02-26,64,8
57,VU,2020-02-27,64,8
58,VU,2020-02-28,65,8
59,VU,2020-02-29,66,8
60,VU,2020-03-01,68,8
61,VU,2020-03-02,70,8
62,VU,2020-03-03,70,8
63,VU,2020-03-04,74,9
64,VU,2020-03-05,75,9
65,VU,2020-03-06,75,9
66,VU,2020-03-07,72,9
67,VU,2020-03-08,65,9
68,VU,2020-03-09,63,9
69,VU,2020-03-10,59,9
70,VU,2020-03-11,51,10
71,VU,2020-03-12,46,10
72,VU,2020-03-13,39,10
73,VU,2020-03-14,36,10
74,VU,2020-03-15,38,10
75,VU,2020-03-16,38,10
76,VU,2020-03-17,38,10
77,VU,2020-03-18,37,11
78,VU,2020-03-19,38,11
79,VU,2020-03-20,37,11
80,VU,2020-03-21,32,11
81,VU,2020-03-22,27,11
82,VU,2020-03-23,20,11
83,VU,2020-03-24,17,11
84,VU,2020-03-25,13,12
85,VU,2020-03-26,11,12
86,VU,2020-03-27,8,12
87,VU,2020-03-28,5,12
88,VU,2020-03-29,3,12
89,VU,2020-03-30,2,12
90,VU,2020-03-31,1,12
91,VU,2020-04-01,1,13
92,VU,2020-04-03,2,13
93,VU,2020-04-04,2,13
94,VU,2020-04-05,2,13
95,VU,2020-04-06,2,13
96,VU,2020-04-07,2,13
97,VU,2020-04-08,2,14
98,VU,2020-04-09,2,14
99,VU,2020-04-14,2,14
100,VU,2020-04-15,2,15
101,VU,2020-04-16,2,15
102,VU,2020-04-17,3,15
103,VU,2020-04-18,3,15
104,VU,2020-04-19,3,15
105,VU,2020-04-20,3,15
106,VU,2020-04-21,2,15
107,VU,2020-04-22,2,16
108,VU,2020-04-23,2,16
109,VU,2020-04-24,1,16
110,VU,2020-04-25,1,16
111,VU,2020-04-26,1,16
112,VU,2020-04-27,1,16
113,VU,2020-06-30,1,25
114,VU,2020-07-01,1,26
115,VU,2020-07-02,1,26
116,VU,2020-07-03,1,26
117,VU,2020-07-04,1,26
118,VU,2020-07-05,1,26
119,VU,2020-07-06,1,26
120,VU,2020-07-20,1,28
121,VU,2020-07-21,3,28
122,VU,2020-07-22,4,29
123,VU,2020-07-23,5,29
124,VU,2020-07-24,7,29
125,VU,2020-07-25,7,29
126,VU,2020-07-26,9,29
127,VU,2020-07-27,9,29
128,VU,2020-07-28,10,29
129,VU,2020-07-29,9,30
130,VU,2020-07-30,8,30
131,VU,2020-07-31,8,30
132,VU,2020-08-01,8,30
133,VU,2020-08-02,8,30
134,VU,2020-08-03,7,30
135,VU,2020-08-04,7,30
136,VU,2020-08-05,7,31
137,VU,2020-08-06,7,31
138,VU,2020-08-07,5,31
139,VU,2020-08-08,5,31
140,VU,2020-08-09,3,31
141,VU,2020-08-10,3,31
142,VU,2020-08-11,3,31
143,VU,2020-08-12,3,32
144,VU,2020-08-13,4,32
145,VU,2020-08-14,6,32
146,VU,2020-08-15,6,32
147,VU,2020-08-16,8,32
148,VU,2020-08-17,8,32
149,VU,2020-08-18,8,32
150,VU,2020-08-19,8,33
151,VU,2020-08-20,7,33
152,VU,2020-08-21,7,33
153,VU,2020-08-22,7,33
154,VU,2020-08-23,8,33
155,VU,2020-08-24,8,33
156,VU,2020-08-25,8,33
157,VU,2020-08-26,9,34
158,VU,2020-08-27,9,34
159,VU,2020-08-28,10,34
160,VU,2020-08-29,11,34
161,VU,2020-08-30,10,34
162,VU,2020-08-31,12,34
163,VU,2020-09-01,10,34
164,VU,2020-09-02,10,35
165,VU,2020-09-03,11,35
166,VU,2020-09-04,11,35
167,VU,2020-09-05,11,35
168,VU,2020-09-06,11,35
169,VU,2020-09-07,9,35
170,VU,2020-09-08,11,35
171,VU,2020-09-09,11,36
172,VU,2020-09-10,11,36
173,VU,2020-09-11,9,36
174,VU,2020-09-12,9,36
175,VU,2020-09-13,8,36
176,VU,2020-09-14,8,36
177,VU,2020-09-15,8,36
178,VU,2020-09-16,7,37
179,VU,2020-09-17,6,37
180,VU,2020-09-18,7,37
181,VU,2020-09-19,6,37
182,VU,2020-09-20,6,37
183,VU,2020-09-21,7,37
184,VU,2020-09-22,7,37
185,VU,2020-09-23,9,38
186,VU,2020-09-24,10,38
187,VU,2020-09-25,10,38
188,VU,2020-09-26,10,38
189,VU,2020-09-27,12,38
190,VU,2020-09-28,11,38
191,VU,2020-09-29,8,38
192,VU,2020-09-30,8,39
193,VU,2020-10-01,7,39
194,VU,2020-10-02,7,39
195,VU,2020-10-03,8,39
196,VU,2020-10-04,7,39
197,VU,2020-10-05,8,39
198,VU,2020-10-06,8,39
199,VU,2020-10-07,8,40
200,VU,2020-10-08,9,40
201,VU,2020-10-09,9,40
202,VU,2020-10-10,8,40
203,VU,2020-10-11,8,40
204,VU,2020-10-12,8,40
205,VU,2020-10-13,10,40
206,VU,2020-10-14,8,41
207,VU,2020-10-15,7,41
208,VU,2020-10-16,7,41
209,VU,2020-10-17,7,41
210,VU,2020-10-18,7,41
211,VU,2020-10-19,7,41
212,VU,2020-10-20,8,41
213,VU,2020-10-21,10,42
214,VU,2020-10-22,11,42
215,VU,2020-10-23,11,42
216,VU,2020-10-24,12,42
217,VU,2020-10-25,12,42
218,VU,2020-10-26,11,42
219,VU,2020-10-27,11,42
220,VU,2020-10-28,10,43
221,VU,2020-10-29,9,43
222,VU,2020-10-30,9,43
223,VU,2020-10-31,8,43
224,VU,2020-11-01,8,43
225,VU,2020-11-02,9,43
226,VU,2020-11-03,8,43
227,VU,2020-11-04,8,44
228,VU,2020-11-05,9,44
229,VU,2020-11-06,9,44
230,VU,2020-11-07,10,44
231,VU,2020-11-08,10,44
232,VU,2020-11-09,9,44
233,VU,2020-11-10,10,44
234,VU,2020-11-11,11,45
235,VU,2020-11-12,10,45
236,VU,2020-11-13,8,45
237,VU,2020-11-14,7,45
238,VU,2020-11-15,5,45
239,VU,2020-11-16,6,45
240,VU,2020-11-17,3,45
241,VU,2020-11-18,3,46
242,VU,2020-11-19,4,46
243,VU,2020-11-20,4,46
244,VU,2020-11-21,5,46
245,VU,2020-11-22,7,46
246,VU,2020-11-23,6,46
247,VU,2020-11-24,9,46
248,VU,2020-11-25,8,47
249,VU,2020-11-26,8,47
250,VU,2020-11-27,9,47
251,VU,2020-11-28,8,47
252,VU,2020-11-29,7,47
253,VU,2020-11-30,9,47
254,VU,2020-12-01,7,47
255,VU,2020-12-02,9,48
256,VU,2020-12-03,9,48
257,VU,2020-12-04,11,48
258,VU,2020-12-05,12,48
259,VU,2020-12-06,13,48
260,VU,2020-12-07,13,48
261,VU,2020-12-08,15,48
262,VU,2020-12-09,12,49
263,VU,2020-12-10,11,49
264,VU,2020-12-11,10,49
265,VU,2020-12-12,9,49
266,VU,2020-12-13,9,49
267,VU,2020-12-14,7,49
268,VU,2020-12-15,6,49
269,VU,2020-12-16,7,50
270,VU,2020-12-17,8,50
271,VU,2020-12-18,9,50
272,VU,2020-12-19,9,50
273,VU,2020-12-20,13,50
274,VU,2020-12-21,20,50
275,VU,2020-12-22,24,50
276,VU,2020-12-23,27,51
277,VU,2020-12-24,35,51
278,VU,2020-12-25,38,51
279,VU,2020-12-26,43,51
280,VU,2020-12-27,43,51
281,VU,2020-12-28,42,51
282,VU,2020-12-29,40,51
283,VU,2020-12-30,43,52
284,VU,2020-12-31,38,52
285,VU,2021-01-01,34,52
286,VU,2021-01-02,34,52
287,VU,2021-01-03,33,52
288,VU,2021-01-04,32,52
289,VU,2021-01-05,28,52
290,VU,2021-01-06,28,53
291,VU,2021-01-07,31,53
292,VU,2021-01-08,35,53
293,VU,2021-01-09,39,53
294,VU,2021-01-10,40,53
295,VU,2021-01-11,39,53
296,VU,2021-01-12,44,53
297,VU,2021-01-13,41,54
298,VU,2021-01-14,41,54
299,VU,2021-01-15,40,54
300,VU,2021-01-16,40,54
301,VU,2021-01-17,40,54
302,VU,2021-01-18,41,54
303,VU,2021-01-19,41,54
304,VU,2021-01-20,44,55
305,VU,2021-01-21,43,55
306,VU,2021-01-22,42,55
307,VU,2021-01-23,41,55
308,VU,2021-01-24,41,55
309,VU,2021-01-25,42,55
310,VU,2021-01-26,40,55
311,VU,2021-01-27,39,56
