,destination_iso_country,date,flights_number_7days,week
0,WS,2020-01-01,38,0
1,WS,2020-01-02,38,0
2,WS,2020-01-03,38,0
3,WS,2020-01-04,41,0
4,WS,2020-01-05,36,0
5,WS,2020-01-06,34,0
6,WS,2020-01-07,32,0
7,WS,2020-01-08,34,1
8,WS,2020-01-09,34,1
9,WS,2020-01-10,34,1
10,WS,2020-01-11,35,1
11,WS,2020-01-12,37,1
12,WS,2020-01-13,38,1
13,WS,2020-01-14,38,1
14,WS,2020-01-15,38,2
15,WS,2020-01-16,36,2
16,WS,2020-01-17,37,2
17,WS,2020-01-18,35,2
18,WS,2020-01-19,36,2
19,WS,2020-01-20,36,2
20,WS,2020-01-21,37,2
21,WS,2020-01-22,35,3
22,WS,2020-01-23,36,3
23,WS,2020-01-24,37,3
24,WS,2020-01-25,40,3
25,WS,2020-01-26,39,3
26,WS,2020-01-27,35,3
27,WS,2020-01-28,33,3
28,WS,2020-01-29,35,4
29,WS,2020-01-30,33,4
30,WS,2020-01-31,33,4
31,WS,2020-02-01,28,4
32,WS,2020-02-02,27,4
33,WS,2020-02-03,29,4
34,WS,2020-02-04,28,4
35,WS,2020-02-05,24,5
36,WS,2020-02-06,24,5
37,WS,2020-02-07,24,5
38,WS,2020-02-08,24,5
39,WS,2020-02-09,23,5
40,WS,2020-02-10,20,5
41,WS,2020-02-11,18,5
42,WS,2020-02-12,22,6
43,WS,2020-02-13,23,6
44,WS,2020-02-14,22,6
45,WS,2020-02-15,22,6
46,WS,2020-02-16,23,6
47,WS,2020-02-17,23,6
48,WS,2020-02-18,23,6
49,WS,2020-02-19,23,7
50,WS,2020-02-20,24,7
51,WS,2020-02-21,20,7
52,WS,2020-02-22,21,7
53,WS,2020-02-23,22,7
54,WS,2020-02-24,21,7
55,WS,2020-02-25,22,7
56,WS,2020-02-26,20,8
57,WS,2020-02-27,18,8
58,WS,2020-02-28,24,8
59,WS,2020-02-29,23,8
60,WS,2020-03-01,21,8
61,WS,2020-03-02,24,8
62,WS,2020-03-03,24,8
63,WS,2020-03-04,23,9
64,WS,2020-03-05,22,9
65,WS,2020-03-06,18,9
66,WS,2020-03-07,19,9
67,WS,2020-03-08,20,9
68,WS,2020-03-09,17,9
69,WS,2020-03-10,17,9
70,WS,2020-03-11,17,10
71,WS,2020-03-12,19,10
72,WS,2020-03-13,19,10
73,WS,2020-03-14,18,10
74,WS,2020-03-15,16,10
75,WS,2020-03-16,18,10
76,WS,2020-03-17,18,10
77,WS,2020-03-18,17,11
78,WS,2020-03-19,16,11
79,WS,2020-03-20,16,11
80,WS,2020-03-21,17,11
81,WS,2020-03-22,16,11
82,WS,2020-03-23,14,11
83,WS,2020-03-24,15,11
84,WS,2020-03-25,13,12
85,WS,2020-03-26,12,12
86,WS,2020-03-27,9,12
87,WS,2020-03-28,5,12
88,WS,2020-03-29,4,12
89,WS,2020-03-30,4,12
90,WS,2020-03-31,2,12
91,WS,2020-04-01,2,13
92,WS,2020-04-02,2,13
93,WS,2020-04-03,1,13
94,WS,2020-04-04,1,13
95,WS,2020-04-05,2,13
96,WS,2020-04-06,1,13
97,WS,2020-04-07,1,13
98,WS,2020-04-08,1,14
99,WS,2020-04-09,1,14
100,WS,2020-04-10,1,14
101,WS,2020-04-11,1,14
102,WS,2020-04-24,1,16
103,WS,2020-04-25,1,16
104,WS,2020-04-26,1,16
105,WS,2020-04-27,1,16
106,WS,2020-04-28,1,16
107,WS,2020-04-29,1,17
108,WS,2020-04-30,1,17
109,WS,2020-05-01,1,17
110,WS,2020-05-02,1,17
111,WS,2020-05-03,1,17
112,WS,2020-05-04,1,17
113,WS,2020-05-05,1,17
114,WS,2020-05-06,1,18
115,WS,2020-05-07,1,18
116,WS,2020-05-08,1,18
117,WS,2020-05-09,1,18
118,WS,2020-05-10,1,18
119,WS,2020-05-11,1,18
120,WS,2020-05-12,1,18
121,WS,2020-05-13,1,19
122,WS,2020-05-14,1,19
123,WS,2020-05-15,1,19
124,WS,2020-05-16,1,19
125,WS,2020-05-17,1,19
126,WS,2020-05-18,1,19
127,WS,2020-05-19,1,19
128,WS,2020-05-20,1,20
129,WS,2020-05-21,1,20
130,WS,2020-05-22,1,20
131,WS,2020-05-23,1,20
132,WS,2020-05-24,1,20
133,WS,2020-05-25,1,20
134,WS,2020-05-26,1,20
135,WS,2020-05-27,1,21
136,WS,2020-05-28,1,21
137,WS,2020-05-29,2,21
138,WS,2020-05-30,2,21
139,WS,2020-05-31,2,21
140,WS,2020-06-01,2,21
141,WS,2020-06-02,2,21
142,WS,2020-06-03,2,22
143,WS,2020-06-04,2,22
144,WS,2020-06-05,1,22
145,WS,2020-06-06,1,22
146,WS,2020-06-07,1,22
147,WS,2020-06-08,1,22
148,WS,2020-06-09,1,22
149,WS,2020-06-10,1,23
150,WS,2020-06-11,1,23
151,WS,2020-06-12,1,23
152,WS,2020-06-13,1,23
153,WS,2020-06-14,1,23
154,WS,2020-06-15,1,23
155,WS,2020-06-16,1,23
156,WS,2020-06-17,2,24
157,WS,2020-06-18,3,24
158,WS,2020-06-19,3,24
159,WS,2020-06-20,3,24
160,WS,2020-06-21,3,24
161,WS,2020-06-22,3,24
162,WS,2020-06-23,3,24
163,WS,2020-06-24,3,25
164,WS,2020-06-25,2,25
165,WS,2020-06-26,1,25
166,WS,2020-06-27,2,25
167,WS,2020-06-28,2,25
168,WS,2020-06-29,2,25
169,WS,2020-06-30,2,25
170,WS,2020-07-01,2,26
171,WS,2020-07-02,2,26
172,WS,2020-07-03,3,26
173,WS,2020-07-04,2,26
174,WS,2020-07-05,2,26
175,WS,2020-07-06,2,26
176,WS,2020-07-07,2,26
177,WS,2020-07-08,1,27
178,WS,2020-07-09,1,27
179,WS,2020-07-10,1,27
180,WS,2020-07-11,1,27
181,WS,2020-07-12,1,27
182,WS,2020-07-13,1,27
183,WS,2020-07-14,1,27
184,WS,2020-07-15,1,28
185,WS,2020-07-16,1,28
186,WS,2020-07-17,1,28
187,WS,2020-07-18,1,28
188,WS,2020-07-19,1,28
189,WS,2020-07-20,1,28
190,WS,2020-07-21,1,28
191,WS,2020-07-22,2,29
192,WS,2020-07-23,5,29
193,WS,2020-07-24,4,29
194,WS,2020-07-25,4,29
195,WS,2020-07-26,4,29
196,WS,2020-07-27,4,29
197,WS,2020-07-28,4,29
198,WS,2020-07-29,3,30
199,WS,2020-07-31,1,30
200,WS,2020-08-01,1,30
201,WS,2020-08-02,1,30
202,WS,2020-08-03,1,30
203,WS,2020-08-04,1,30
204,WS,2020-08-05,1,31
205,WS,2020-08-06,1,31
206,WS,2020-08-07,1,31
207,WS,2020-08-08,2,31
208,WS,2020-08-09,2,31
209,WS,2020-08-10,2,31
210,WS,2020-08-11,2,31
211,WS,2020-08-12,2,32
212,WS,2020-08-13,2,32
213,WS,2020-08-14,2,32
214,WS,2020-08-15,1,32
215,WS,2020-08-16,1,32
216,WS,2020-08-17,2,32
217,WS,2020-08-18,2,32
218,WS,2020-08-19,2,33
219,WS,2020-08-20,3,33
220,WS,2020-08-21,2,33
221,WS,2020-08-22,2,33
222,WS,2020-08-23,3,33
223,WS,2020-08-24,2,33
224,WS,2020-08-25,2,33
225,WS,2020-08-26,2,34
226,WS,2020-08-27,1,34
227,WS,2020-08-28,2,34
228,WS,2020-08-29,2,34
229,WS,2020-08-30,1,34
230,WS,2020-08-31,1,34
231,WS,2020-09-01,1,34
232,WS,2020-09-02,1,35
233,WS,2020-09-03,1,35
234,WS,2020-09-04,1,35
235,WS,2020-09-05,1,35
236,WS,2020-09-06,1,35
237,WS,2020-09-07,1,35
238,WS,2020-09-08,1,35
239,WS,2020-09-09,1,36
240,WS,2020-09-10,1,36
241,WS,2020-09-11,1,36
242,WS,2020-09-12,1,36
243,WS,2020-09-13,1,36
244,WS,2020-09-14,1,36
245,WS,2020-09-15,1,36
246,WS,2020-09-16,1,37
247,WS,2020-09-17,2,37
248,WS,2020-09-18,2,37
249,WS,2020-09-19,2,37
250,WS,2020-09-20,2,37
251,WS,2020-09-21,2,37
252,WS,2020-09-22,2,37
253,WS,2020-09-23,2,38
254,WS,2020-09-24,1,38
255,WS,2020-09-25,1,38
256,WS,2020-09-26,1,38
257,WS,2020-09-27,1,38
258,WS,2020-09-28,1,38
259,WS,2020-09-29,1,38
260,WS,2020-09-30,1,39
261,WS,2020-10-01,2,39
262,WS,2020-10-02,2,39
263,WS,2020-10-03,2,39
264,WS,2020-10-04,2,39
265,WS,2020-10-05,2,39
266,WS,2020-10-06,2,39
267,WS,2020-10-07,4,40
268,WS,2020-10-08,4,40
269,WS,2020-10-09,3,40
270,WS,2020-10-10,3,40
271,WS,2020-10-11,3,40
272,WS,2020-10-12,3,40
273,WS,2020-10-13,3,40
274,WS,2020-10-14,1,41
275,WS,2020-10-15,1,41
276,WS,2020-10-16,1,41
277,WS,2020-10-17,1,41
278,WS,2020-10-18,1,41
279,WS,2020-10-19,1,41
280,WS,2020-10-20,1,41
281,WS,2020-10-21,1,42
282,WS,2020-10-22,1,42
283,WS,2020-10-23,1,42
284,WS,2020-10-24,1,42
285,WS,2020-10-25,1,42
286,WS,2020-10-26,1,42
287,WS,2020-10-27,1,42
288,WS,2020-10-28,1,43
289,WS,2020-10-30,1,43
290,WS,2020-10-31,1,43
291,WS,2020-11-01,1,43
292,WS,2020-11-02,1,43
293,WS,2020-11-03,1,43
294,WS,2020-11-04,1,44
295,WS,2020-11-05,2,44
296,WS,2020-11-06,1,44
297,WS,2020-11-07,1,44
298,WS,2020-11-08,2,44
299,WS,2020-11-09,2,44
300,WS,2020-11-10,2,44
301,WS,2020-11-11,2,45
302,WS,2020-11-12,2,45
303,WS,2020-11-13,2,45
304,WS,2020-11-14,2,45
305,WS,2020-11-15,1,45
306,WS,2020-11-16,1,45
307,WS,2020-11-17,1,45
308,WS,2020-11-18,1,46
309,WS,2020-11-19,1,46
310,WS,2020-11-20,1,46
311,WS,2020-11-21,1,46
312,WS,2020-11-22,1,46
313,WS,2020-11-23,1,46
314,WS,2020-11-24,1,46
315,WS,2020-11-25,1,47
316,WS,2020-11-26,1,47
317,WS,2020-11-27,1,47
318,WS,2020-11-28,1,47
319,WS,2020-11-29,1,47
320,WS,2020-11-30,1,47
321,WS,2020-12-01,1,47
322,WS,2020-12-02,1,48
323,WS,2020-12-03,1,48
324,WS,2020-12-04,1,48
325,WS,2020-12-05,1,48
326,WS,2020-12-06,2,48
327,WS,2020-12-07,3,48
328,WS,2020-12-08,3,48
329,WS,2020-12-09,3,49
330,WS,2020-12-10,2,49
331,WS,2020-12-11,2,49
332,WS,2020-12-12,2,49
333,WS,2020-12-13,1,49
334,WS,2020-12-17,1,50
335,WS,2020-12-18,1,50
336,WS,2020-12-19,1,50
337,WS,2020-12-20,2,50
338,WS,2020-12-21,2,50
339,WS,2020-12-22,2,50
340,WS,2020-12-23,2,51
341,WS,2020-12-24,2,51
342,WS,2020-12-25,2,51
343,WS,2020-12-26,2,51
344,WS,2020-12-27,1,51
345,WS,2020-12-28,1,51
346,WS,2020-12-29,1,51
347,WS,2020-12-30,1,52
348,WS,2020-12-31,1,52
349,WS,2021-01-01,1,52
350,WS,2021-01-02,1,52
351,WS,2021-01-03,1,52
352,WS,2021-01-04,1,52
353,WS,2021-01-05,1,52
354,WS,2021-01-06,1,53
355,WS,2021-01-07,1,53
356,WS,2021-01-08,1,53
357,WS,2021-01-09,1,53
358,WS,2021-01-10,1,53
359,WS,2021-01-11,1,53
360,WS,2021-01-12,1,53
361,WS,2021-01-13,1,54
362,WS,2021-01-14,1,54
363,WS,2021-01-15,1,54
364,WS,2021-01-16,2,54
365,WS,2021-01-17,2,54
366,WS,2021-01-18,2,54
367,WS,2021-01-19,2,54
368,WS,2021-01-20,3,55
369,WS,2021-01-21,3,55
370,WS,2021-01-22,3,55
371,WS,2021-01-23,2,55
372,WS,2021-01-24,3,55
373,WS,2021-01-25,3,55
374,WS,2021-01-26,3,55
375,WS,2021-01-27,2,56
376,WS,2021-01-28,2,56
377,WS,2021-01-29,2,56
378,WS,2021-01-30,2,56
379,WS,2021-01-31,1,56
380,WS,2021-02-01,1,56
381,WS,2021-02-02,1,56
382,WS,2021-02-03,1,57
383,WS,2021-02-04,1,57
384,WS,2021-02-05,1,57
385,WS,2021-02-06,1,57
386,WS,2021-02-07,1,57
387,WS,2021-02-08,1,57
388,WS,2021-02-09,1,57
389,WS,2021-02-10,1,58
390,WS,2021-02-11,1,58
391,WS,2021-02-12,2,58
392,WS,2021-02-13,2,58
393,WS,2021-02-14,2,58
394,WS,2021-02-15,3,58
395,WS,2021-02-16,3,58
396,WS,2021-02-17,3,59
397,WS,2021-02-18,3,59
398,WS,2021-02-19,2,59
399,WS,2021-02-20,2,59
400,WS,2021-02-21,2,59
401,WS,2021-02-22,1,59
402,WS,2021-02-23,1,59
403,WS,2021-02-24,1,60
404,WS,2021-02-25,1,60
405,WS,2021-02-26,1,60
406,WS,2021-02-27,1,60
407,WS,2021-02-28,1,60
408,WS,2021-03-01,2,60
409,WS,2021-03-02,2,60
410,WS,2021-03-03,2,61
411,WS,2021-03-04,2,61
412,WS,2021-03-05,2,61
413,WS,2021-03-06,2,61
414,WS,2021-03-07,2,61
415,WS,2021-03-08,1,61
416,WS,2021-03-09,1,61
417,WS,2021-03-10,1,62
418,WS,2021-03-11,1,62
419,WS,2021-03-12,1,62
420,WS,2021-03-13,1,62
421,WS,2021-03-14,1,62
422,WS,2021-03-15,1,62
423,WS,2021-03-16,1,62
424,WS,2021-03-17,2,63
425,WS,2021-03-18,2,63
426,WS,2021-03-19,2,63
427,WS,2021-03-20,2,63
428,WS,2021-03-21,2,63
429,WS,2021-03-22,2,63
430,WS,2021-03-23,3,63
431,WS,2021-03-24,2,64
432,WS,2021-03-25,6,64
433,WS,2021-03-26,6,64
434,WS,2021-03-27,6,64
435,WS,2021-03-28,6,64
436,WS,2021-03-29,7,64
437,WS,2021-03-30,7,64
438,WS,2021-03-31,7,65
439,WS,2021-04-01,8,65
440,WS,2021-04-02,8,65
441,WS,2021-04-03,8,65
442,WS,2021-04-04,8,65
443,WS,2021-04-05,10,65
444,WS,2021-04-06,10,65
445,WS,2021-04-07,15,66
446,WS,2021-04-08,16,66
447,WS,2021-04-09,17,66
448,WS,2021-04-10,17,66
449,WS,2021-04-11,17,66
450,WS,2021-04-12,14,66
451,WS,2021-04-13,14,66
452,WS,2021-04-14,9,67
453,WS,2021-04-15,2,67
454,WS,2021-04-16,2,67
455,WS,2021-04-17,2,67
456,WS,2021-04-18,2,67
457,WS,2021-04-19,2,67
458,WS,2021-04-20,1,67
459,WS,2021-04-21,1,68
460,WS,2021-04-22,1,68
461,WS,2021-04-23,1,68
462,WS,2021-04-24,1,68
463,WS,2021-04-25,2,68
464,WS,2021-04-26,2,68
465,WS,2021-04-27,2,68
466,WS,2021-04-28,3,69
467,WS,2021-04-29,3,69
468,WS,2021-04-30,3,69
469,WS,2021-05-01,3,69
470,WS,2021-05-02,2,69
471,WS,2021-05-03,2,69
472,WS,2021-05-04,2,69
473,WS,2021-05-05,2,70
474,WS,2021-05-06,2,70
475,WS,2021-05-07,4,70
476,WS,2021-05-08,5,70
477,WS,2021-05-09,6,70
478,WS,2021-05-10,6,70
479,WS,2021-05-11,6,70
480,WS,2021-05-12,5,71
481,WS,2021-05-13,5,71
482,WS,2021-05-14,3,71
483,WS,2021-05-15,2,71
484,WS,2021-05-16,1,71
485,WS,2021-05-17,1,71
486,WS,2021-05-18,1,71
487,WS,2021-05-19,1,72
488,WS,2021-05-20,1,72
489,WS,2021-05-25,1,72
490,WS,2021-05-26,1,73
491,WS,2021-05-27,1,73
492,WS,2021-05-28,2,73
493,WS,2021-05-29,2,73
494,WS,2021-05-30,2,73
495,WS,2021-05-31,2,73
496,WS,2021-06-01,1,73
497,WS,2021-06-02,1,74
498,WS,2021-06-03,2,74
499,WS,2021-06-04,2,74
500,WS,2021-06-05,3,74
501,WS,2021-06-06,3,74
502,WS,2021-06-07,3,74
503,WS,2021-06-08,3,74
504,WS,2021-06-09,3,75
505,WS,2021-06-10,2,75
506,WS,2021-06-11,2,75
507,WS,2021-06-12,1,75
508,WS,2021-06-13,1,75
509,WS,2021-06-14,1,75
510,WS,2021-06-15,2,75
511,WS,2021-06-16,2,76
512,WS,2021-06-17,2,76
513,WS,2021-06-18,2,76
514,WS,2021-06-19,2,76
515,WS,2021-06-20,2,76
516,WS,2021-06-21,2,76
517,WS,2021-06-22,1,76
518,WS,2021-06-23,1,77
519,WS,2021-06-24,1,77
520,WS,2021-06-25,1,77
521,WS,2021-06-26,1,77
522,WS,2021-06-27,6,77
523,WS,2021-06-28,7,77
524,WS,2021-06-29,7,77
525,WS,2021-06-30,8,78
526,WS,2021-07-01,8,78
527,WS,2021-07-02,7,78
528,WS,2021-07-03,7,78
529,WS,2021-07-04,2,78
530,WS,2021-07-05,1,78
531,WS,2021-07-06,1,78
532,WS,2021-07-08,1,79
533,WS,2021-07-09,2,79
534,WS,2021-07-10,2,79
535,WS,2021-07-11,2,79
536,WS,2021-07-12,2,79
537,WS,2021-07-13,3,79
538,WS,2021-07-14,4,80
539,WS,2021-07-15,3,80
540,WS,2021-07-16,2,80
541,WS,2021-07-17,2,80
542,WS,2021-07-18,3,80
543,WS,2021-07-19,3,80
544,WS,2021-07-20,2,80
545,WS,2021-07-21,1,81
546,WS,2021-07-22,2,81
547,WS,2021-07-23,2,81
548,WS,2021-07-24,2,81
549,WS,2021-07-25,1,81
550,WS,2021-07-26,2,81
551,WS,2021-07-27,2,81
552,WS,2021-07-28,2,82
553,WS,2021-07-29,1,82
554,WS,2021-07-30,1,82
555,WS,2021-07-31,1,82
556,WS,2021-08-01,1,82
557,WS,2021-08-02,2,82
558,WS,2021-08-03,2,82
559,WS,2021-08-04,3,83
560,WS,2021-08-05,3,83
561,WS,2021-08-06,3,83
562,WS,2021-08-07,3,83
563,WS,2021-08-08,3,83
564,WS,2021-08-09,2,83
565,WS,2021-08-10,2,83
566,WS,2021-08-11,2,84
567,WS,2021-08-12,2,84
568,WS,2021-08-13,2,84
569,WS,2021-08-14,2,84
570,WS,2021-08-15,2,84
571,WS,2021-08-16,1,84
572,WS,2021-08-17,1,84
573,WS,2021-08-19,1,85
574,WS,2021-08-20,2,85
575,WS,2021-08-21,2,85
576,WS,2021-08-22,2,85
577,WS,2021-08-23,2,85
578,WS,2021-08-24,2,85
579,WS,2021-08-25,3,86
580,WS,2021-08-26,3,86
581,WS,2021-08-27,2,86
582,WS,2021-08-28,2,86
583,WS,2021-08-29,2,86
584,WS,2021-08-30,4,86
585,WS,2021-08-31,4,86
586,WS,2021-09-01,3,87
587,WS,2021-09-02,3,87
588,WS,2021-09-03,3,87
589,WS,2021-09-04,3,87
590,WS,2021-09-05,3,87
591,WS,2021-09-06,1,87
592,WS,2021-09-07,1,87
593,WS,2021-09-08,1,88
594,WS,2021-09-09,1,88
595,WS,2021-09-10,2,88
596,WS,2021-09-11,2,88
597,WS,2021-09-12,2,88
598,WS,2021-09-13,2,88
599,WS,2021-09-14,2,88
600,WS,2021-09-15,2,89
601,WS,2021-09-16,3,89
602,WS,2021-09-17,2,89
603,WS,2021-09-18,3,89
604,WS,2021-09-19,3,89
605,WS,2021-09-20,3,89
606,WS,2021-09-21,3,89
607,WS,2021-09-22,3,90
608,WS,2021-09-23,2,90
609,WS,2021-09-24,2,90
610,WS,2021-09-25,1,90
611,WS,2021-09-26,1,90
612,WS,2021-09-27,1,90
613,WS,2021-09-28,1,90
614,WS,2021-09-29,1,91
615,WS,2021-09-30,1,91
616,WS,2021-10-01,1,91
617,WS,2021-10-02,1,91
618,WS,2021-10-03,1,91
619,WS,2021-10-04,1,91
620,WS,2021-10-05,5,91
621,WS,2021-10-06,5,92
622,WS,2021-10-07,5,92
623,WS,2021-10-08,6,92
624,WS,2021-10-09,6,92
625,WS,2021-10-10,6,92
626,WS,2021-10-11,6,92
627,WS,2021-10-12,2,92
628,WS,2021-10-13,3,93
629,WS,2021-10-14,3,93
630,WS,2021-10-15,4,93
631,WS,2021-10-16,4,93
632,WS,2021-10-17,4,93
633,WS,2021-10-18,4,93
634,WS,2021-10-19,4,93
635,WS,2021-10-20,4,94
636,WS,2021-10-21,3,94
637,WS,2021-10-22,1,94
638,WS,2021-10-23,1,94
639,WS,2021-10-24,1,94
640,WS,2021-10-25,1,94
641,WS,2021-10-26,1,94
642,WS,2021-10-28,1,95
643,WS,2021-10-29,1,95
644,WS,2021-10-30,1,95
645,WS,2021-10-31,1,95
646,WS,2021-11-01,4,95
647,WS,2021-11-02,4,95
648,WS,2021-11-03,5,96
649,WS,2021-11-04,4,96
650,WS,2021-11-05,4,96
651,WS,2021-11-06,5,96
652,WS,2021-11-07,5,96
653,WS,2021-11-08,3,96
654,WS,2021-11-09,3,96
655,WS,2021-11-10,2,97
656,WS,2021-11-11,2,97
657,WS,2021-11-12,2,97
658,WS,2021-11-13,2,97
659,WS,2021-11-14,2,97
660,WS,2021-11-15,1,97
661,WS,2021-11-16,3,97
662,WS,2021-11-17,3,98
663,WS,2021-11-18,3,98
664,WS,2021-11-19,3,98
665,WS,2021-11-20,4,98
666,WS,2021-11-21,4,98
667,WS,2021-11-22,4,98
668,WS,2021-11-23,2,98
669,WS,2021-11-24,2,99
670,WS,2021-11-25,2,99
671,WS,2021-11-26,2,99
672,WS,2021-11-27,1,99
673,WS,2021-11-28,1,99
674,WS,2021-11-29,1,99
675,WS,2021-11-30,2,99
676,WS,2021-12-01,2,100
677,WS,2021-12-02,7,100
678,WS,2021-12-03,7,100
679,WS,2021-12-04,7,100
680,WS,2021-12-05,7,100
681,WS,2021-12-06,7,100
682,WS,2021-12-07,7,100
683,WS,2021-12-08,7,101
684,WS,2021-12-09,2,101
685,WS,2021-12-10,3,101
686,WS,2021-12-11,2,101
687,WS,2021-12-12,2,101
688,WS,2021-12-13,2,101
689,WS,2021-12-14,3,101
690,WS,2021-12-15,3,102
691,WS,2021-12-16,3,102
692,WS,2021-12-17,2,102
693,WS,2021-12-18,3,102
694,WS,2021-12-19,3,102
695,WS,2021-12-20,3,102
696,WS,2021-12-21,1,102
697,WS,2021-12-22,2,103
698,WS,2021-12-23,2,103
699,WS,2021-12-24,2,103
700,WS,2021-12-25,2,103
701,WS,2021-12-26,2,103
702,WS,2021-12-27,2,103
703,WS,2021-12-28,2,103
704,WS,2021-12-29,1,104
705,WS,2021-12-30,1,104
706,WS,2021-12-31,2,104
707,WS,2022-01-01,1,104
708,WS,2022-01-02,1,104
709,WS,2022-01-03,2,104
710,WS,2022-01-04,5,104
711,WS,2022-01-05,5,105
712,WS,2022-01-06,5,105
713,WS,2022-01-07,5,105
714,WS,2022-01-08,5,105
715,WS,2022-01-09,5,105
716,WS,2022-01-10,4,105
717,WS,2022-01-11,1,105
718,WS,2022-01-12,1,106
719,WS,2022-01-13,1,106
720,WS,2022-01-15,1,106
721,WS,2022-01-16,4,106
